SEZ2011,A47
480170060001,276
480170060004,160
480170060005,0
480170060011,76
480170060014,24
480170060031,49
480170060033,79
480170060037,69
480170060039,206
480170060044,0
480170060049,21
480170060053,35
480170060058,82
480170060059,117
480170060061,156
480170060062,2
480170060068,53
480170060070,30
480170060071,368
480170060073,30
480170060074,14
480170060079,288
480170060082,248
480170060084,1
480170060085,605
480170060086,162
480170060087,7
480170060093,160
480170060094,96
480170060095,24
480170060096,525
480170060098,9
480170060099,1008
480170060100,208
480170060102,48
480170060106,1096
480170060110,112
480170060115,225
480170060118,85
480170060122,3
480170060123,35
480170060124,663
480170060126,53
480170060127,1664
480170060128,6
480170060132,36
480170060133,39
480170060134,28
480170060137,4
480170060139,100
480170060140,1331
480170060142,370
480170060144,27
480170060150,150
480170060151,55
480170060152,3358
480170060153,57
480170060154,155
480170060156,5
480170060157,88
480170060161,180
480170060162,2177
480170060163,72
480170060164,91
480170060165,320
480170060166,58
480170060168,0
480170060169,1
480170060171,576
480170060172,90
480170060175,775
480170060176,276
480170060177,44
480170060178,8
480170060179,100
480170060182,1104
480170060183,17
480170060184,30
480170060187,123
480170060189,292
480170060193,44
480170060194,166
480170060198,28
480170060199,603
480170060200,6
480170060202,1
480170060204,2983
480170060206,109
480170060208,45
480170060210,381
480170060212,111
480170060214,450
480170060216,244
480170060217,292
480170060218,252
480170060219,134
480170060221,44
480170060222,2
480170060225,332
480170060227,38
480170060228,38
480170060229,4
480170060230,75
480170060233,309
480170060234,1008
480170060236,138
480170060237,1793
480170060238,0
480170060239,162
480170060241,1488
480170060243,153
480170060244,108
480170060247,10
480170060248,108
480170060251,207
480170060252,122
480170060257,232
480170060258,17
480170060259,225
480170060262,198
480170060263,265
480170060268,740
480170060269,84
480170060270,198
480170060271,252
480170060272,148
480170060273,152
480170060274,98
480170060277,138
480170060278,240
480170060279,204
480170060280,138
480170060281,37
480170060282,1350
480170060283,0
480170060284,240
480170060286,169
480170060287,1380
480170060289,2880
480170060290,30
480170060291,342
480170060292,1450
480170060293,5092
480170060294,1860
480170060296,605
480170060299,24
480170060300,222
480170060301,0
480170060302,152
480170060306,95
480170060307,0
480170060308,3196
480170060309,1632
480170060310,636
480170060313,330
480170060314,240
480170060315,142
480170060316,25
480170060317,909
480170060318,9
480170060320,43
480170060323,22
480170060324,86
480170060328,398
480170060329,303
480170060332,68
480170060333,4
480170060335,86
480170060336,322
480170060337,0
480170060339,468
480170060340,161
480170060341,24
480170060342,126
480170060343,1611
480170060348,402
480170060349,466
480170060350,16
480170060353,0
480170060357,414
480170060358,88
480170060360,324
480170060361,1649
480170060362,2016
480170060364,132
480170060366,182
480170060367,728
480170060368,384
480170060369,1027
480170060370,48
480170060371,154
480170060372,144
480170060374,360
480170060376,7
480170060379,166
480170060381,5200
480170060382,276
480170060383,198
480170060384,1037
480170060385,6
480170060388,44
480170060389,52
480170060390,504
480170060391,358
480170060392,136
480170060393,2784
480170060394,266
480170060395,9
480170060397,90
480170060402,140
480170060403,900
480170060406,1075
480170060407,128
480170060408,1392
480170060409,2790
480170060410,187
480170060412,703
480170060415,168
480170060416,91
480170060418,250
480170060419,25
480170060420,177
480170060421,425
480170060422,0
480170060425,2664
480170060428,12
480170060430,13
480170060431,546
480170060432,186
480170060433,861
480170060434,45
480170060435,5249
480170060436,74456
480170060437,234
480170060440,312
480170060443,50
480170060444,551
480170060446,438
480170060448,1938
480170060449,381
480170060450,360
480170060452,20
480170060453,110
480170060455,1470
480170060456,56
480170060458,7
480170060459,105
480170060460,9600
480170060461,81
480170060464,180
480170060465,4
480170060466,621
480170060469,116
480170060470,346
480170060471,344
480170060472,50
480170060473,675
480170060474,847
480170060475,1020
480170060476,0
480170060477,1404
480170060478,126
480170060479,0
480170060480,819
480170060482,10
480170060485,165
480170060488,345
480170060489,150
480170060490,38
480170060491,253
480170060492,880
480170060493,560
480170060495,132
480170060497,88
480170060499,855
480170060501,55
480170060502,54
480170060504,137
480170060505,216
480170060506,207
480170060507,106
480170060509,520
480170060510,7693
480170060512,392
480170060513,416
480170060514,40
480170060515,330
480170060516,489
480170060517,3
480170060518,0
480170060521,430
480170060522,3434
480170060523,192
480170060524,102
480170060525,146
480170060526,3672
480170060527,104
480170060528,87
480170060529,19
480170060530,630
480170060531,1170
480170060533,319
480170060534,342
480170060535,90
480170060536,1881
480170060538,104
480170060539,28
480170060540,76
480170060541,69
480170060542,720
480170060543,102
480170060544,7
480170060545,70
480170060546,114
480170060547,465
480170060548,0
480170060551,1144
480170060554,18
480170060555,408
480170060557,1311
480170060558,256
480170060559,350
480170060560,252
480170060561,505
480170060563,990
