neighbourhood_cleansed,host_total_listings_count
Campo di Marte,18.46740220661986
Centro Storico,23.591100257766925
Gavinana Galluzzo,14.933673469387756
Isolotto Legnaia,7.83371298405467
Rifredi,12.375764993880049
