neighbourhood_cleansed,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
Campo di Marte,"997",0.971915747241725,0.632898696088265,0.380140421263791,265.039117352056167,23.509528585757273,92.021063189568707,128.741223671013046,26.177532597793380,138.427281845536612,5.598796389167503,1.446409989594173,3.387161484453360
Centro Storico,"7371",0.933116266449600,0.814407814407814,0.546194546194546,189.747388414055081,29.425858092524759,58.769773436440104,102.688916022249359,23.469407136073801,123.246777913444575,13.492470492470492,1.549873559988761,3.906118572785239
Gavinana Galluzzo,"392",0.964285714285714,0.673469387755102,0.426020408163265,227.655612244897952,20.089285714285715,72.676020408163268,105.288265306122454,33.025510204081634,117.413265306122454,7.010204081632653,1.671875000000000,3.760204081632653
Isolotto Legnaia,"439",0.965831435079727,0.692482915717540,0.284738041002278,343.120728929384939,39.847380410022780,109.897494305239178,163.601366742596809,31.095671981776764,170.649202733485197,5.428246013667426,1.456470588235294,3.571753986332574
Rifredi,"817",0.952264381884945,0.615667074663403,0.323133414932681,412.560587515299858,40.694002447980417,143.197062423500626,200.968176254589963,26.254589963280292,212.515299877600967,5.221542227662178,1.410062893081761,3.375764993880049
