neighbourhood_cleansed,accommodates
Campo di Marte,3.38716148445336
Centro Storico,3.9061185727852394
Gavinana Galluzzo,3.760204081632653
Isolotto Legnaia,3.571753986332574
Rifredi,3.375764993880049
