SEZ2011,PF1
480170060705,0
480170060706,462
480170060707,231
480170060709,140
480170060710,1352
480170060711,140
480170060712,8
480170060713,108
480170060714,48
480170060715,689
480170060717,684
480170060718,9
480170060719,522
480170060720,6
480170060721,0
480170060722,59
480170060724,0
480170060725,25
480170060726,72
480170060727,26
480170060728,0
480170060730,315
480170060731,1860
480170060732,340
480170060733,2
480170060734,1820
480170060735,396
480170060738,10
480170060740,576
480170060741,243
480170060743,112
480170060746,495
480170060747,1694
480170060748,256
480170060750,153
480170060751,0
480170060752,70
480170060753,132
480170060754,1298
480170060755,1264
480170060756,1170
480170060757,250
480170060758,0
480170060759,40
480170060760,962
480170060761,0
480170060762,40
480170060763,10215
480170060764,135
480170060765,8
480170060766,284
480170060767,228
480170060768,5176
480170060771,473
480170060772,1760
480170060774,82
480170060775,42
480170060777,90
480170060779,896
480170060781,3382
480170060782,720
480170060783,708
480170060784,144
480170060785,294
480170060787,1275
480170060789,336
480170060790,4
480170060791,75
480170060793,0
480170060795,80
480170060796,168
480170060798,1128
480170060799,476
480170060800,468
480170060801,180
480170060802,195
480170060803,376
480170060804,4876
480170060807,62
480170060809,32
480170060810,540
480170060812,780
480170060815,3799
480170060816,8
480170060817,1356
480170060818,13193
480170060819,1164
480170060820,98
480170060821,7
480170060822,120
480170060823,16
480170060824,10
480170060825,960
480170060826,230
480170060827,0
480170060828,588
480170060829,55
480170060830,399
480170060831,55
480170060833,63
480170060835,906
480170060836,330
480170060837,20
480170060838,798
480170060839,162
480170060840,52
480170060841,528
480170060842,2673
480170060843,780
480170060844,285
480170060845,65
480170060846,836
480170060847,8288
480170060848,5
480170060850,166
480170060851,399
480170060852,26
480170060855,333
480170060858,0
480170060859,151
480170060861,1808
480170060862,35
480170060863,37
480170060864,1440
480170060865,7920
480170060866,1310
480170060867,1080
480170060870,180
480170060873,800
480170060874,5875
480170060877,66
480170060878,101
480170060879,176
480170060881,30
480170060883,330
480170060884,30
480170060886,720
480170060887,140
480170060888,1638
480170060890,43
480170060891,152
480170060892,6
480170060895,462
480170060896,84
480170060897,5856
480170060899,110
480170060902,600
480170060906,28
480170060907,1385
480170060908,369
480170060910,268
480170060911,90
480170060912,1
480170060915,258
480170060916,15352
480170060917,0
480170060918,850
480170060919,3959
480170060920,106
480170060921,70
480170060922,17
480170060924,1380
480170060927,28
480170060928,775
480170060930,1520
480170060931,1190
480170060932,188
480170060933,48
480170060934,2832
480170060935,996
480170060936,84
480170060937,1157
480170060938,78
480170060940,97
480170060943,984
480170060944,68
480170060945,252
480170060947,6732
480170060948,348
480170060949,336
480170060950,4
480170060952,219
480170060953,102
480170060954,32
480170060955,44
480170060957,432
480170060958,615
480170060960,57
480170060961,3857
480170060963,268
480170060964,117
480170060966,2550
480170060967,805
480170060969,1908
480170060971,1584
480170060973,1804
480170060974,447
480170060975,20
480170060976,0
480170060977,67
480170060979,372
480170060983,398
480170060984,1053
480170060985,213
480170060986,112
480170060988,568
480170060990,127
480170060991,50
480170060992,1311
480170060994,590
480170060995,7470
480170060996,168
480170060998,25
480170060999,376
480170061000,142
480170061001,880
480170061002,4896
480170061003,114
480170061004,1020
480170061005,415
480170061006,139
480170061007,19
480170061009,66
480170061010,2944
480170061011,15300
480170061013,70
480170061014,456
480170061017,5922
480170061018,176
480170061019,264
480170061021,85
480170061023,235
480170061025,2240
480170061026,74
480170061035,644
480170061036,61
480170061037,568
480170061039,205
480170061040,136
480170061043,261
480170061044,1311
480170061045,16683
480170061049,120
480170061050,1300
480170061051,288
480170061053,576
480170061055,588
480170061057,108
480170061058,700
480170061061,15
480170061064,1755
480170061065,159
480170061066,2072
480170061068,808
480170061069,3799
480170061070,474
480170061071,4602
480170061072,178
480170061073,5103
480170061075,190
480170061076,930
480170061077,0
480170061078,212
480170061079,104
480170061081,18
480170061082,92
480170061086,0
480170061087,129
480170061089,52
480170061090,153
480170061091,870
480170061092,0
480170061094,6765
480170061095,164
480170061099,12
480170061100,948
480170061104,240
480170061106,128
480170061109,35
480170061110,1806
480170061111,281
480170061112,3052
480170061114,292
480170061115,1539
480170061118,0
480170061119,296
480170061120,76
480170061121,810
480170061123,144
480170061124,183
480170061125,78
480170061127,372
480170061132,1250
480170061133,218
480170061134,185
480170061135,987
480170061137,744
480170061141,609
480170061145,274
480170061149,10296
480170061150,174
480170061153,826
480170061157,2070
480170061160,1368
480170061161,165
480170061165,1050
480170061169,128
480170061170,1188
480170061173,72
480170061174,550
480170061176,174
480170061177,7155
480170061179,556
480170061180,375
480170061183,63
480170061186,1100
480170061191,14
480170061194,1960
480170061196,8
480170061201,992
480170061203,53
480170061206,267
480170061208,1050
480170061210,429
480170061213,92
480170061214,6
480170061217,572
480170061221,7224
480170061222,450
480170061223,240
480170061224,164
480170061226,13612
480170061232,882
480170061235,14
480170061237,84
480170061238,290
480170061239,406
480170061243,158
480170061244,3036
480170061245,310
480170061247,168
480170061249,21
480170061251,564
480170061252,1274
480170061257,48
480170061258,317
480170061259,352
480170061261,48
480170061262,460
480170061263,3375
480170061266,345
