count_per_100,cont_per_1000,census_tract_id,count_airbnb_listings,P1,thousand,hundred,count_per_pop
0.398406374501992,3.984063745019920,"480170060001","3","753",1000.000000000000000,100.000000000000000,0.003984063745020
0.395256916996047,3.952569169960474,"480170060004","2","506",1000.000000000000000,100.000000000000000,0.003952569169960
33.333333333333329,333.333333333333314,"480170060005","1","3",1000.000000000000000,100.000000000000000,0.333333333333333
1.098901098901099,10.989010989010989,"480170060011","4","364",1000.000000000000000,100.000000000000000,0.010989010989011
1.470588235294118,14.705882352941176,"480170060014","1","68",1000.000000000000000,100.000000000000000,0.014705882352941
0.689655172413793,6.896551724137931,"480170060031","1","145",1000.000000000000000,100.000000000000000,0.006896551724138
0.366300366300366,3.663003663003663,"480170060033","1","273",1000.000000000000000,100.000000000000000,0.003663003663004
0.515463917525773,5.154639175257732,"480170060037","1","194",1000.000000000000000,100.000000000000000,0.005154639175258
0.228310502283105,2.283105022831050,"480170060039","2","876",1000.000000000000000,100.000000000000000,0.002283105022831
,,"480170060044","2","0",1000.000000000000000,100.000000000000000,
1.492537313432836,14.925373134328359,"480170060049","1","67",1000.000000000000000,100.000000000000000,0.014925373134328
1.010101010101010,10.101010101010102,"480170060053","1","99",1000.000000000000000,100.000000000000000,0.010101010101010
0.529100529100529,5.291005291005291,"480170060058","2","378",1000.000000000000000,100.000000000000000,0.005291005291005
1.724137931034483,17.241379310344826,"480170060059","13","754",1000.000000000000000,100.000000000000000,0.017241379310345
0.769230769230769,7.692307692307693,"480170060061","4","520",1000.000000000000000,100.000000000000000,0.007692307692308
100.000000000000000,1000.000000000000000,"480170060062","2","2",1000.000000000000000,100.000000000000000,1.000000000000000
0.458715596330275,4.587155963302752,"480170060068","1","218",1000.000000000000000,100.000000000000000,0.004587155963303
5.263157894736842,52.631578947368418,"480170060070","6","114",1000.000000000000000,100.000000000000000,0.052631578947368
0.420168067226891,4.201680672268908,"480170060071","4","952",1000.000000000000000,100.000000000000000,0.004201680672269
1.265822784810127,12.658227848101266,"480170060073","1","79",1000.000000000000000,100.000000000000000,0.012658227848101
1.886792452830189,18.867924528301884,"480170060074","1","53",1000.000000000000000,100.000000000000000,0.018867924528302
0.282485875706215,2.824858757062147,"480170060079","3","1062",1000.000000000000000,100.000000000000000,0.002824858757062
0.653594771241830,6.535947712418301,"480170060082","4","612",1000.000000000000000,100.000000000000000,0.006535947712418
7.142857142857142,71.428571428571431,"480170060084","1","14",1000.000000000000000,100.000000000000000,0.071428571428571
0.203252032520325,2.032520325203252,"480170060085","5","2460",1000.000000000000000,100.000000000000000,0.002032520325203
0.456621004566210,4.566210045662100,"480170060086","2","438",1000.000000000000000,100.000000000000000,0.004566210045662
4.545454545454546,45.454545454545453,"480170060087","1","22",1000.000000000000000,100.000000000000000,0.045454545454545
0.366300366300366,3.663003663003663,"480170060093","2","546",1000.000000000000000,100.000000000000000,0.003663003663004
0.900900900900901,9.009009009009009,"480170060094","4","444",1000.000000000000000,100.000000000000000,0.009009009009009
1.538461538461539,15.384615384615385,"480170060095","3","195",1000.000000000000000,100.000000000000000,0.015384615384615
0.319488817891374,3.194888178913738,"480170060096","5","1565",1000.000000000000000,100.000000000000000,0.003194888178914
7.692307692307693,76.923076923076934,"480170060098","3","39",1000.000000000000000,100.000000000000000,0.076923076923077
0.229357798165138,2.293577981651376,"480170060099","7","3052",1000.000000000000000,100.000000000000000,0.002293577981651
0.666666666666667,6.666666666666667,"480170060100","4","600",1000.000000000000000,100.000000000000000,0.006666666666667
1.282051282051282,12.820512820512819,"480170060102","2","156",1000.000000000000000,100.000000000000000,0.012820512820513
0.245700245700246,2.457002457002457,"480170060106","8","3256",1000.000000000000000,100.000000000000000,0.002457002457002
0.680272108843537,6.802721088435374,"480170060110","2","294",1000.000000000000000,100.000000000000000,0.006802721088435
0.666666666666667,6.666666666666667,"480170060115","5","750",1000.000000000000000,100.000000000000000,0.006666666666667
0.398406374501992,3.984063745019920,"480170060118","1","251",1000.000000000000000,100.000000000000000,0.003984063745020
7.692307692307693,76.923076923076934,"480170060122","1","13",1000.000000000000000,100.000000000000000,0.076923076923077
1.785714285714286,17.857142857142858,"480170060123","5","280",1000.000000000000000,100.000000000000000,0.017857142857143
0.152905198776758,1.529051987767584,"480170060124","3","1962",1000.000000000000000,100.000000000000000,0.001529051987768
0.769230769230769,7.692307692307693,"480170060126","1","130",1000.000000000000000,100.000000000000000,0.007692307692308
0.089847259658580,0.898472596585804,"480170060127","4","4452",1000.000000000000000,100.000000000000000,0.000898472596586
3.030303030303030,30.303030303030305,"480170060128","1","33",1000.000000000000000,100.000000000000000,0.030303030303030
2.439024390243902,24.390243902439025,"480170060132","4","164",1000.000000000000000,100.000000000000000,0.024390243902439
1.098901098901099,10.989010989010989,"480170060133","1","91",1000.000000000000000,100.000000000000000,0.010989010989011
1.298701298701299,12.987012987012989,"480170060134","2","154",1000.000000000000000,100.000000000000000,0.012987012987013
7.142857142857142,71.428571428571431,"480170060137","1","14",1000.000000000000000,100.000000000000000,0.071428571428571
0.349650349650350,3.496503496503497,"480170060139","1","286",1000.000000000000000,100.000000000000000,0.003496503496503
0.257069408740360,2.570694087403599,"480170060140","11","4279",1000.000000000000000,100.000000000000000,0.002570694087404
0.869565217391304,8.695652173913043,"480170060142","10","1150",1000.000000000000000,100.000000000000000,0.008695652173913
1.492537313432836,14.925373134328359,"480170060144","1","67",1000.000000000000000,100.000000000000000,0.014925373134328
0.495049504950495,4.950495049504950,"480170060150","2","404",1000.000000000000000,100.000000000000000,0.004950495049505
