SEZ2011,E3
480170060718,6
480170060719,104
480170060720,6
480170060721,0
480170060722,16
480170060724,0
480170060725,5
480170060726,17
480170060727,7
480170060728,0
480170060730,117
480170060731,456
480170060732,28
480170060733,1
480170060734,588
480170060735,108
480170060738,5
480170060740,72
480170060741,18
480170060743,16
480170060746,165
480170060747,308
480170060748,72
480170060750,36
480170060751,0
480170060752,14
480170060753,55
480170060754,264
480170060755,288
480170060756,240
480170060757,30
480170060758,0
480170060759,2
480170060760,195
480170060761,0
480170060762,14
480170060763,2205
480170060764,45
480170060765,1
480170060766,18
480170060767,54
480170060768,784
480170060771,99
480170060772,184
480170060774,34
480170060775,12
480170060777,9
480170060779,154
480170060781,1216
480170060782,180
480170060783,174
480170060784,15
480170060785,140
480170060787,240
480170060789,64
480170060790,4
480170060791,30
480170060793,4
480170060795,30
480170060796,21
480170060798,216
480170060799,136
480170060800,78
480170060801,46
480170060802,75
480170060803,88
480170060804,1242
480170060807,17
480170060809,12
480170060810,120
480170060812,180
480170060815,580
480170060816,2
480170060817,360
480170060818,2528
480170060819,84
480170060820,1
480170060821,2
480170060822,48
480170060823,4
480170060824,6
480170060825,270
480170060826,30
480170060827,0
480170060828,135
480170060829,22
480170060830,49
480170060831,4
480170060833,21
480170060835,150
480170060836,105
480170060837,6
480170060838,38
480170060839,18
480170060840,16
480170060841,246
480170060842,759
480170060843,102
480170060844,75
480170060845,24
480170060846,190
480170060847,1920
480170060848,1
480170060850,48
480170060851,126
480170060852,11
480170060855,45
480170060858,0
480170060859,39
480170060861,384
480170060862,5
480170060863,21
480170060864,450
480170060865,1430
480170060866,140
480170060867,216
480170060870,21
480170060873,164
480170060874,1200
480170060877,24
480170060878,1
480170060879,55
480170060881,10
480170060883,121
480170060884,15
480170060886,105
480170060887,30
480170060888,342
480170060890,1
480170060891,7
480170060892,2
480170060895,0
480170060896,24
480170060897,1280
480170060899,21
480170060902,168
480170060906,12
480170060907,275
480170060908,60
480170060910,44
480170060911,39
480170060912,1
480170060915,12
480170060916,3344
480170060917,0
480170060918,250
480170060919,1036
480170060920,34
480170060921,20
480170060922,3
480170060924,456
480170060927,16
480170060928,265
480170060930,480
480170060931,140
480170060932,38
480170060933,10
480170060934,672
480170060935,48
480170060936,21
480170060937,325
480170060938,14
480170060940,19
480170060943,264
480170060944,16
480170060945,99
480170060947,1728
480170060948,84
480170060949,80
480170060950,4
480170060952,42
480170060953,27
480170060954,18
480170060955,6
480170060957,88
480170060958,189
480170060960,9
480170060961,1218
480170060963,18
480170060964,15
480170060966,360
480170060967,40
480170060969,468
480170060971,360
480170060973,231
480170060974,159
480170060975,12
480170060976,0
480170060977,3
480170060979,16
480170060983,26
480170060984,234
480170060985,36
480170060986,40
480170060988,76
480170060990,8
480170060991,5
480170060992,253
480170060994,64
480170060995,1440
480170060996,36
480170060998,1
480170060999,24
480170061000,30
480170061001,80
480170061002,1224
480170061003,22
480170061004,260
480170061005,50
480170061006,32
480170061007,7
480170061009,10
480170061010,575
480170061011,3100
480170061013,8
480170061014,64
480170061017,1638
480170061018,30
480170061019,17
480170061021,6
480170061023,75
480170061025,680
480170061026,25
480170061035,124
480170061036,3
480170061037,32
480170061039,27
480170061040,8
480170061043,81
480170061044,209
480170061045,3320
480170061049,36
480170061050,260
480170061051,18
480170061053,96
480170061055,180
480170061057,16
480170061058,180
480170061061,6
480170061064,486
480170061065,16
480170061066,644
480170061068,80
480170061069,638
480170061070,72
480170061071,1121
480170061072,11
480170061073,504
480170061075,8
480170061076,130
480170061077,0
480170061078,22
480170061079,48
480170061081,6
480170061082,64
480170061086,0
480170061087,5
480170061089,7
480170061090,102
480170061091,150
480170061092,0
480170061094,880
480170061095,12
480170061099,3
480170061100,116
480170061104,39
480170061106,5
480170061109,10
480170061110,266
480170061111,15
480170061112,896
480170061114,52
480170061115,351
480170061118,1
480170061119,52
480170061120,4
