SEZ2011,P1,A46,A47,PF1,E3,E27,SEZ2011_2,Shape_Leng,Shape_Area,field_1,id,listing_ur,last_scrap,name,host_id,host_name,host_since,host_locat,host_total,neighbourh,latitude,longitude,room_type,accommodat,bedrooms,price,availabili,availabi_1,availabi_2,availabi_3,number_of_,number_o_1,license,instant_bo,calculated,reviews_pe
480170060001,"251","20","92","116","40","126",480170060001,3609.210033389999808,183780.157193999999436,"1656","6041089",https://www.airbnb.com/rooms/6041089,2021/12/17,Borgo Certosa - Florence,"18149550",Stefano,2014/07/15,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.730260000000001,11.221000000000000,Entire home/apt,"4",1.000000000000000,65.000000000000000,"28","58","88","363","0","0",,f,"1",0.160000000000000
480170060002,"15","3","3","7","4","8",480170060002,139.328385790999988,910.416553522999948,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060003,"20","1","7","8","1","8",480170060003,332.033373449999999,5874.969467429999895,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060004,"253","22","80","116","40","138",480170060004,1218.794771769999898,78767.994413499996881,"3744","17798290",https://www.airbnb.com/rooms/17798290,2021/12/17,Appartamento luminoso 10 min dal centro,"25048641",Margherita,2014/12/21,"Florence, Tuscany, Italy","2",Gavinana Galluzzo,43.735030000000002,11.224299999999999,Entire home/apt,"5",3.000000000000000,70.000000000000000,"27","57","87","177","0","0",,f,"2",
480170060005,"3","2","0","3","1","14",480170060005,398.197557664999977,9825.547557019999658,"6935","35140676",https://www.airbnb.com/rooms/35140676,2021/12/17,La Casa di Claudia in Florence,"228871715",Simona,2018/12/03,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.736339999999998,11.225140000000000,Entire home/apt,"5",2.000000000000000,114.000000000000000,"27","57","87","255","1","0",,f,"1",0.130000000000000
480170060006,"161","13","52","69","17","66",480170060006,649.800781859000040,17007.136484800001199,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060007,"377","6","131","157","29","163",480170060007,1774.784472860000051,146377.791788000002271,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060008,"20","1","9","10","2","11",480170060008,462.731054138999980,11745.757715900001131,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060009,"21","1","7","11","6","10",480170060009,440.121279448999985,11927.495920199999091,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060010,"95","3","35","40","14","50",480170060010,513.027534438999965,12093.306501200000639,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060011,"91","7","19","36","36","63",480170060011,5312.040870810000342,777320.323020000010729,"3233","15267029",https://www.airbnb.com/rooms/15267029,2021/12/17,SWEET GARDEN VILLA DEI GELSOMINI,"57601757",Mariarita,2016/02/06,"Milan, Lombardy, Italy","4",Gavinana Galluzzo,43.741959999999999,11.244579999999999,Entire home/apt,"4",2.000000000000000,62.000000000000000,"0","14","44","319","0","0",,f,"4",0.050000000000000
480170060012,"77","2","26","29","20","35",480170060012,747.640487039000050,17592.037874199999351,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060013,"18","0","7","7","4","6",480170060013,278.039103389999980,3754.632944810000026,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060014,"68","6","24","32","9","24",480170060014,336.918683733000023,5153.564407060000121,"1030","3299228",https://www.airbnb.com/rooms/3299228,2021/12/17,"Bella stanza moderna, arredo antico","16663857",Baerbel,2014/06/11,"Basel, Basel City, Switzerland","1",Gavinana Galluzzo,43.737369999999999,11.224539999999999,Private room,"2",1.000000000000000,65.000000000000000,"0","14","44","319","0","0",,f,"1",0.300000000000000
480170060015,"115","3","39","45","21","45",480170060015,514.848007466000013,12857.455108399999517,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060016,"34","3","13","16","13","20",480170060016,374.521727365000004,8341.638546469999710,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060017,"139","6","48","66","12","61",480170060017,452.821284342000013,8535.948307250000653,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060018,"142","5","61","71","20","77",480170060018,687.000451812000051,16369.081150899999557,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060019,"38","20","1","21","1","14",480170060019,89.845131763799998,532.430501036000010,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060020,"127","7","44","55","11","55",480170060020,302.512094099000024,4764.019168259999788,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060021,"66","22","0","25","4","36",480170060021,268.498226488999990,4264.730208529999800,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060022,"169","9","57","74","19","73",480170060022,745.985154033999947,25377.997882200001186,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060023,"46","25","0","25","4","36",480170060023,230.514943482999996,3393.826425849999850,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060024,"39","17","0","17","3","17",480170060024,225.612366976000004,2687.693119349999961,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060025,"132","7","45","57","11","55",480170060025,578.863156234000030,13105.723690400000123,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060026,"101","1","35","40","2","38",480170060026,429.772932458000014,10863.652728600000046,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060027,"90","45","1","46","6","46",480170060027,364.846141642000021,7126.834502110000358,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060028,"4","0","1","1","1","1",480170060028,484.771197561999998,9049.551088199999867,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060029,"123","1","49","53","26","50",480170060029,564.339092451000056,14692.251365899999655,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060030,"137","18","43","68","15","65",480170060030,601.871076041000038,16200.395995000000767,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060031,"145","10","49","67","24","97",480170060031,576.351097692000053,14765.540134400000170,"4705","22100328",https://www.airbnb.com/rooms/22100328,2021/12/17,Loving Home in Florence,"80353942",Martina,2016/06/27,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.738149999999997,11.225379999999999,Entire home/apt,"4",2.000000000000000,80.000000000000000,"0","0","0","0","0","0",,t,"1",0.400000000000000
480170060032,"117","6","42","54","16","53",480170060032,799.017022348999944,38465.007382800002233,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060033,"273","9","79","104","61","118",480170060033,4012.662971289999859,192583.334432000003289,"9596","51480025",https://www.airbnb.com/rooms/51480025,2021/12/17,confortevole appartamento nel verde,"56443527",Chiara,2016/01/28,"Florence, Tuscany, Italy","3",Gavinana Galluzzo,43.734810000000003,11.219090000000000,Entire home/apt,"4",2.000000000000000,130.000000000000000,"27","57","87","362","0","0",,f,"3",
480170060034,"75","1","28","34","13","30",480170060034,594.086708274999978,13486.067789400000038,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060035,"38","0","17","17","9","18",480170060035,276.696997263000014,4795.814492210000026,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060036,"78","18","19","41","7","44",480170060036,727.028493780999952,26782.118505200000072,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060037,"194","9","69","89","17","92",480170060037,674.374689325999952,26232.020020899999508,"3395","16152298",https://www.airbnb.com/rooms/16152298,2021/12/17,Rifinitissimo appartmento,"24652742",Nicola,2014/12/09,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.738860000000003,11.235740000000000,Entire home/apt,"4",1.000000000000000,120.000000000000000,"26","56","86","176","0","0",,f,"1",
480170060038,"58","1","25","27","3","32",480170060038,519.304944191000004,9353.703910959999121,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060039,"438","85","103","202","56","204",480170060039,1064.424547470000107,61272.224193100002594,"1586","5772594",https://www.airbnb.com/rooms/5772594,2021/12/17,Nuovissimo bilocale fuori porta,"29948712",Claudia,2015/03/24,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.740119999999997,11.233350000000000,Entire home/apt,"4",1.000000000000000,100.000000000000000,"9","37","67","335","0","0",,f,"1",0.030000000000000
480170060040,"325","3","135","147","54","146",480170060040,1654.761995070000239,69453.735101500002202,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060041,"33","4","7","14","4","16",480170060041,531.017348565000020,18074.665863300000638,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060042,"35","7","4","13","11","16",480170060042,462.669735041000024,11398.539547500000481,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060043,"47","9","17","27","11","36",480170060043,238.517888999999997,2647.992585739999868,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060044,"0","0","0","0","3","9",480170060044,722.907712984999989,21651.935094699998444,"8601","45493124",https://www.airbnb.com/rooms/45493124,2021/12/17,Relax Suites Magnolia,"46784513",Maria Pia,2015/10/17,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.740960000000001,11.235360000000000,Entire home/apt,"4",1.000000000000000,159.000000000000000,"23","53","83","338","0","0",,t,"2",
480170060045,"237","10","76","93","11","105",480170060045,794.985908163999966,28658.855975400001626,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060046,"21","1","8","9","4","15",480170060046,1682.851118159999942,128878.080249999999069,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060047,"22","1","5","10","5","12",480170060047,1189.368288690000099,46880.051004300003115,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060048,"13","2","3","5","4","10",480170060048,1346.536497260000033,63485.308937599998899,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060049,"67","1","21","25","7","23",480170060049,905.719900965999955,36960.823303800010763,"5582","26758791",https://www.airbnb.com/rooms/26758791,2021/12/17,Tenuta del Podestà with private pool in Florence,"8846138",Maria Chiara,2013/09/15,"Florence, Tuscany, Italy","63",Gavinana Galluzzo,43.739570000000001,11.225120000000000,Entire home/apt,"6",2.000000000000000,344.000000000000000,"0","0","0","0","1","0",,f,"4",0.250000000000000
480170060050,"10","5","0","5","3","20",480170060050,361.139303331999997,6808.278297589999966,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060051,"76","6","26","35","10","39",480170060051,608.478460457999972,9983.302218929999071,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060052,"0","0","0","0","1","2",480170060052,974.004008958999975,38476.197319899998547,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060053,"99","14","35","54","16","53",480170060053,556.506027711999991,14732.871062099999108,"7789","40482218",https://www.airbnb.com/rooms/40482218,2021/12/17,Casamilena con giardino e parcheggio privato,"313349388",Maria,2019/11/30,"Florence, Tuscany, Italy","0",Isolotto Legnaia,43.767809999999997,11.222890000000000,Entire home/apt,"6",2.000000000000000,98.000000000000000,"9","39","69","69","27","3",,t,"1",1.510000000000000
480170060054,"10","0","7","7","1","7",480170060054,223.309559046000004,2533.226000220000060,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060055,"44","12","1","17","7","32",480170060055,1119.023473850000073,45623.980399300002318,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060056,"223","0","69","74","6","72",480170060056,531.270706307999944,13157.122110000000248,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060057,"24","12","0","13","4","28",480170060057,338.513688358000024,5774.651637449999726,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060058,"189","5","41","66","53","124",480170060058,7479.119440880000184,1037680.177610000013374,"1907","7163950",https://www.airbnb.com/rooms/7163950,2021/12/17,villa toscana,"14232488",Lisa,2014/04/13,IT,"1",Gavinana Galluzzo,43.747999999999998,11.282500000000001,Entire home/apt,"5",4.000000000000000,1700.000000000000000,"0","0","0","0","0","0",,f,"1",
480170060059,"58","3","9","20","22","64",480170060059,3422.273319670000092,414894.049841000000015,"4644","21936574",https://www.airbnb.com/rooms/21936574,2021/12/17,Royale Suite,"107114517",Villa Le Piazzole,2016/12/13,"Florence, Tuscany, Italy","15",Gavinana Galluzzo,43.740139999999997,11.241800000000000,Private room,"4",1.000000000000000,220.000000000000000,"28","58","88","363","0","0",,f,"14",
480170060060,"27","1","11","15","8","16",480170060060,2020.558397499999955,125794.320456000001286,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060061,"130","9","39","61","23","83",480170060061,1947.146524259999978,98330.912073300001794,"6426","32332735",https://www.airbnb.com/rooms/32332735,2021/12/17,Loft sulle colline di Firenze,"242747614",Enrico Maria,2019/02/12,"Florence, Tuscany, Italy","3",Gavinana Galluzzo,43.744500000000002,11.231579999999999,Entire home/apt,"2",1.000000000000000,60.000000000000000,"4","4","4","226","10","0",,t,"3",1.440000000000000
480170060062,"1","0","1","1","2","2",480170060062,454.679170983999995,9615.883072119999269,"6401","32213969",https://www.airbnb.com/rooms/32213969,2021/12/17,La casa del tintore 1: nel cuore di S. Frediano,"240778904",Tiberio,2019/02/03,"Florence, Tuscany, Italy","0",Gavinana Galluzzo,43.743350000000000,11.257140000000000,Entire home/apt,"4",2.000000000000000,120.000000000000000,"28","58","88","363","0","0",,f,"2",
480170060063,"29","3","6","12","11","14",480170060063,1060.923135109999976,51941.403799400002754,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060064,"223","7","84","95","5","110",480170060064,641.196424827999977,24026.902825900000607,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060065,"30","0","9","10","7","20",480170060065,902.003808230999880,36012.700029799998447,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060066,"23","1","7","8","7","8",480170060066,696.752232034000031,25535.634483099998761,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060067,"20","0","7","8","2","10",480170060067,1466.920374289999927,89210.347601700021187,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060068,"218","27","53","98","58","124",480170060068,4370.793457249999847,190731.024497000034899,"986","3143608",https://www.airbnb.com/rooms/3143608,2021/12/17,luxury villa &pool,"15960426",Guidetta,2014/05/25,"Florence, Tuscany, Italy","6",Gavinana Galluzzo,43.750639999999997,11.257140000000000,Entire home/apt,"10",5.000000000000000,548.000000000000000,"21","51","81","190","2","0",,f,"6",0.470000000000000
480170060069,"57","3","11","26","21","42",480170060069,1923.126464200000100,66903.716863299996476,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060070,"19","2","5","8","4","8",480170060070,3186.250097040000128,247649.871079999982612,"4799","22564531",https://www.airbnb.com/rooms/22564531,2021/12/17,La Limonaia for 4 persons.,"161551313",Alessandra - Interhome Group,2017/12/06,Italy,"125",Gavinana Galluzzo,43.744660000000003,11.246820000000000,Entire home/apt,"4",1.000000000000000,9.000000000000000,"22","52","82","188","0","0",,t,"9",
480170060071,"238","9","92","114","40","130",480170060071,1356.900503099999924,82193.317175699994550,"5222","24588452",https://www.airbnb.com/rooms/24588452,2021/12/17,ATTICO FIRENZE,"185811888",Graziano,2018/04/23,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.747560000000000,11.234460000000000,Entire home/apt,"4",1.000000000000000,60.000000000000000,"9","39","69","159","0","0",,f,"1",1.470000000000000
480170060072,"16","3","4","8","5","13",480170060072,748.668360882000002,21462.235457999999198,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060073,"79","1","30","35","18","38",480170060073,1606.889801580000039,45797.179749499999161,"969","3058724",https://www.airbnb.com/rooms/3058724,2021/12/17,Tuscan Sun Villa in Florence,"15568920",Alessandro,2014/05/15,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.742840000000001,11.254860000000001,Entire home/apt,"10",4.000000000000000,151.000000000000000,"25","55","85","350","14","0",,t,"1",2.090000000000000
480170060074,"53","8","14","24","4","24",480170060074,1655.985071490000109,122243.682423999998719,"1807","6684738",https://www.airbnb.com/rooms/6684738,2021/12/17,Country house in Florence downtown,"34986363",Alessandro,2015/06/04,"Florence, Tuscany, Italy","3",Gavinana Galluzzo,43.743569999999998,11.238160000000001,Entire home/apt,"2",,65.000000000000000,"0","0","0","142","4","0",,f,"2",2.460000000000000
480170060075,"17","0","6","8","8","9",480170060075,1102.685420009999916,39469.009503000001132,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060076,"4","0","1","2","2","2",480170060076,365.385212808999995,7506.574228870000297,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060077,"31","1","10","13","6","25",480170060077,2567.260322600000109,159429.486600000003818,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060078,"50","3","13","20","23","48",480170060078,852.608931641000027,27724.600436199998512,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060079,"354","35","96","144","27","140",480170060079,2056.443240220000007,64459.886637499999779,"1468","5300395",https://www.airbnb.com/rooms/5300395,2021/12/17,Two bdrm apart close to the center,"347187",Carlotta,2011/01/14,"Florence, Toscana, Italy","2",Gavinana Galluzzo,43.748100000000001,11.233110000000000,Entire home/apt,"4",2.000000000000000,50.000000000000000,"0","0","0","78","0","0",,f,"2",0.640000000000000
480170060080,"45","6","12","19","12","31",480170060080,2384.531029220000164,307280.841788000019733,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060081,"9","1","3","4","5","12",480170060081,998.211303799000120,54435.513508900003217,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060082,"153","8","62","82","18","91",480170060082,449.923064122000028,9696.876975150000362,"74","128907",https://www.airbnb.com/rooms/128907,2021/12/17,Il Podesta Apartment in Florence,"636702",Massimiliano Lepri,2011/05/28,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.749130000000001,11.234740000000000,Entire home/apt,"4",2.000000000000000,67.000000000000000,"4","34","64","313","0","0",,t,"1",1.410000000000000
480170060083,"33","5","4","12","7","18",480170060083,1300.787344930000017,42963.641680399996403,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060084,"14","1","1","4","3","4",480170060084,1133.232048079999913,68114.556429899996147,"6301","31552358",https://www.airbnb.com/rooms/31552358,2021/12/17,Fiorenza B&B,"231437894",Elena,2018/12/19,IT,"1",Gavinana Galluzzo,43.749229999999997,11.241140000000000,Private room,"2",1.000000000000000,98.000000000000000,"30","60","90","180","0","0",,f,"1",
480170060085,"492","68","121","239","39","245",480170060085,1384.476810449999903,65290.353633699996863,"825","2425026",https://www.airbnb.com/rooms/2425026,2021/12/17,Residenza Falorni Apartment,"12393905",Marta,2014/02/19,"Florence, Tuscany, Italy","2",Gavinana Galluzzo,43.750000000000000,11.240170000000001,Entire home/apt,"3",1.000000000000000,90.000000000000000,"0","0","0","179","0","0",,f,"2",0.010000000000000
480170060086,"219","7","81","101","33","96",480170060086,1000.679530770000042,50305.886266100002103,"836","2462640",https://www.airbnb.com/rooms/2462640,2021/12/17,Lovely 1 bedroom flat in Florence,"12540914",Valentina,2014/02/24,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.749079999999999,11.235930000000000,Entire home/apt,"3",1.000000000000000,40.000000000000000,"0","0","0","169","0","0",,f,"1",1.450000000000000
480170060087,"22","1","7","9","11","20",480170060087,1414.259289179999996,96945.498678799995105,"3033","14020205",https://www.airbnb.com/rooms/14020205,2021/12/17,MarignolleFlowers Suite your Florence hills' home,"83880632",Stefano,2016/07/15,IT,"1",Gavinana Galluzzo,43.748150000000003,11.218650000000000,Entire home/apt,"4",2.000000000000000,135.000000000000000,"14","44","74","349","3","0",,t,"1",0.250000000000000
480170060088,"13","7","0","7","1","8",480170060088,713.042716705999965,32832.287209299996903,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060089,"0","0","0","0","2","15",480170060089,643.591057194999962,8953.670477940000637,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060090,"230","33","2","54","2","54",480170060090,908.489866473999996,48364.067950500000734,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060091,"37","9","8","19","7","22",480170060091,818.022889218000046,26816.654599900000903,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060093,"273","37","80","127","41","144",480170060093,598.522622412000032,18461.766490800000611,"4512","21469480",https://www.airbnb.com/rooms/21469480,2021/12/17,Gelsomino Garden near POGGIO IMPERIALE,"4156491",Apartments Florence,2012/11/15,"Florence, Tuscany, Italy","189",Gavinana Galluzzo,43.750340000000001,11.237959999999999,Entire home/apt,"3",1.000000000000000,164.000000000000000,"0","0","0","0","0","0",,t,"125",
480170060094,"111","6","24","43","22","64",480170060094,3435.769746490000216,178992.515385000006063,"1366","4830029",https://www.airbnb.com/rooms/4830029,2021/12/17,elegant and quiet apartment,"15960426",Guidetta,2014/05/25,"Florence, Tuscany, Italy","6",Gavinana Galluzzo,43.750399999999999,11.255080000000000,Entire home/apt,"6",3.000000000000000,147.000000000000000,"17","47","77","164","1","0",,t,"6",0.060000000000000
480170060095,"65","0","8","13","12","23",480170060095,3523.996049509999921,366242.937274999974761,"690","1833662",https://www.airbnb.com/rooms/1833662,2021/12/17,Amazing view from two family rooms,"227111789",Flavia,2018/11/23,IT,"3",Gavinana Galluzzo,43.750450000000001,11.231019999999999,Private room,"4",2.000000000000000,95.000000000000000,"0","0","0","77","0","0",,f,"3",
480170060096,"313","4","105","141","60","144",480170060096,1675.841390020000063,122684.540284999995492,"3239","15307257",https://www.airbnb.com/rooms/15307257,2021/12/17,"Depandance ""Aurora""","65444079",Giovanna,2016/04/02,IT,"1",Gavinana Galluzzo,43.749769999999998,11.242170000000000,Entire home/apt,"4",1.000000000000000,75.000000000000000,"0","1","1","1","0","0",,t,"1",
480170060097,"62","5","22","29","11","32",480170060097,1698.789910319999990,73249.683148600001005,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060098,"13","2","3","9","5","13",480170060098,2310.892792889999782,91829.189777599996887,"5654","27251526",https://www.airbnb.com/rooms/27251526,2021/12/17,"Tuscan Villa, Maze Garden, shared Pool, parking","3428494",Ginevra,2012/08/31,"Florence, Tuscany, Italy","6",Gavinana Galluzzo,43.755180000000003,11.279090000000000,Entire home/apt,"14",7.000000000000000,1414.000000000000000,"0","0","0","6","0","0",,t,"6",
480170060099,"436","28","144","201","66","181",480170060099,2067.324684149999939,179569.870473999995738,"1032","3328916",https://www.airbnb.com/rooms/3328916,2021/12/17,LA BARRIERA AFFITTACAMERE,"3574316",Giorgio,2012/09/15,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.748989999999999,11.234130000000000,Entire home/apt,"4",2.000000000000000,38.000000000000000,"18","48","78","333","1","0",,t,"1",1.410000000000000
480170060100,"150","11","52","69","23","65",480170060100,841.409792670000002,25655.546744200000830,"145","321323",https://www.airbnb.com/rooms/321323,2021/12/17,Art Apartment San Felice,"1645859",David,2012/01/24,"Florence, Tuscany, Italy","59",Gavinana Galluzzo,43.752569999999999,11.244809999999999,Entire home/apt,"5",2.000000000000000,82.000000000000000,"0","0","0","0","1","0",,t,"29",1.740000000000000
480170060101,"18","3","5","8","3","8",480170060101,334.264897034000001,4774.399200419999943,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060102,"78","5","24","36","21","42",480170060102,1367.040726769999765,63242.770385099996929,"2909","13474421",https://www.airbnb.com/rooms/13474421,2021/12/17,A touch of Florence between downtown and nature,"36511864",Francesco,2015/06/23,"Florence, Tuscany, Italy","2",Gavinana Galluzzo,43.749720000000003,11.294300000000000,Entire home/apt,"4",1.000000000000000,70.000000000000000,"0","0","0","78","0","0",,t,"2",0.310000000000000
480170060103,"8","3","1","4","3","7",480170060103,1080.153204850000066,59231.102188800003205,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060104,"36","0","20","20","7","30",480170060104,404.734922518000019,5296.551760629999990,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060105,"277","56","66","126","2","121",480170060105,633.643042958000024,19222.521591400000034,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060106,"407","36","137","188","63","198",480170060106,2011.528507960000070,107814.096774999998161,"355","831111",https://www.airbnb.com/rooms/831111,2021/12/17,Loft for 4 person wifi and parking,"1526517",Andrea,2011/12/22,"Lido di Camaiore, Tuscany, Italy","7",Gavinana Galluzzo,43.751600000000003,11.239680000000000,Entire home/apt,"2",1.000000000000000,120.000000000000000,"27","57","87","362","0","0",,f,"6",0.030000000000000
480170060107,"63","0","21","21","1","20",480170060107,338.097962277000022,4723.393677930000194,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060108,"10","0","3","4","3","4",480170060108,329.416257873999996,5066.141910199999074,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060109,"63","1","20","25","16","28",480170060109,1355.243187750000061,43507.711587700003292,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060110,"147","7","56","71","40","102",480170060110,757.946997881000016,31520.305578999999852,"3419","16296865",https://www.airbnb.com/rooms/16296865,2021/12/17,"Quiet, close to center with homemade breakfast","29996722",Agostino,2015/03/25,"Crema, Lombardy, Italy","1",Gavinana Galluzzo,43.754750000000001,11.237480000000000,Private room,"2",1.000000000000000,119.000000000000000,"14","44","74","349","0","0",,f,"1",1.600000000000000
480170060111,"145","3","47","57","18","54",480170060111,592.826654103999999,17126.300526200000604,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060112,"24","0","6","7","6","7",480170060112,418.323394913000016,8356.992567499999495,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060113,"108","4","40","47","11","86",480170060113,1007.420659659999956,26323.491315800001757,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060114,"41","5","17","23","7","23",480170060114,433.262815362000026,6364.946929259998797,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060115,"150","10","45","67","32","69",480170060115,1766.437361949999968,179706.742143000010401,"1777","6593295",https://www.airbnb.com/rooms/6593295,2021/12/17,Apartment with beautiful views,"34494341",Giancarlo,2015/05/29,"Florence, Tuscany, Italy","1",Centro Storico,43.751410000000000,11.246940000000000,Entire home/apt,"4",2.000000000000000,84.000000000000000,"0","0","0","0","0","0",,f,"1",1.590000000000000
480170060116,"109","4","34","43","1","45",480170060116,409.213065756999981,7022.337564739999834,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060117,"57","5","23","28","15","38",480170060117,2879.550079520000054,132356.047041000012541,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060118,"251","18","85","119","41","121",480170060118,1982.093380640000078,78739.916396400003578,"452","1015270",https://www.airbnb.com/rooms/1015270,2021/12/17,Delightful villa with a lush garden,"4552823",Simona,2013/01/02,"Rome, Lazio, Italy","6",Gavinana Galluzzo,43.754320000000000,11.299220000000000,Entire home/apt,"7",3.000000000000000,321.000000000000000,"29","59","89","364","0","0",,f,"2",0.330000000000000
480170060119,"111","5","48","58","10","61",480170060119,465.355573330000027,13346.172858399999313,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060121,"45","10","7","21","3","34",480170060121,198.831252346000014,2478.777894849999939,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060122,"13","0","3","4","2","3",480170060122,1048.475830459999997,63719.024039900003118,"7370","37731185",https://www.airbnb.com/rooms/37731185,2021/12/17,casabarthel/SAILORMANroom2 Near to the city center,"5272126",Elena,2013/02/28,"Florence, Tuscany, Italy","9",Gavinana Galluzzo,43.754669999999997,11.220520000000000,Private room,"2",1.000000000000000,200.000000000000000,"0","0","0","0","0","0",,f,"13",
480170060123,"56","7","7","24","27","58",480170060123,7586.647013929999957,1074520.187029999913648,"1801","6674532",https://www.airbnb.com/rooms/6674532,2021/12/17,Petit grange toscane,"34894071",Daria,2015/06/03,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.745780000000003,11.260730000000001,Entire home/apt,"4",1.000000000000000,85.000000000000000,"0","0","0","0","0","0",,f,"1",
480170060124,"654","45","221","291","80","324",480170060124,1656.945028009999760,140480.728442999999970,"3840","18118563",https://www.airbnb.com/rooms/18118563,2021/12/17,Casa della Ciri - Le Rose,"74285140",Letizia,2016/05/27,"Florence, Tuscany, Italy","3",Gavinana Galluzzo,43.751539999999999,11.295700000000000,Entire home/apt,"2",1.000000000000000,55.000000000000000,"0","0","1","108","0","0",,t,"2",1.860000000000000
