SEZ2011,P1,A46,A47,PF1,E3,E27,SEZ2011_2,Shape_Leng,Shape_Area,field_1,id,listing_ur,last_scrap,name,host_id,host_name,host_since,host_locat,host_total,neighbourh,latitude,longitude,room_type,accommodat,bedrooms,price,availabili,availabi_1,availabi_2,availabi_3,number_of_,number_o_1,license,instant_bo,calculated,reviews_pe
480170060526,"199","18","68","105","26","132",480170060526,785.605055247999985,33542.762220399999933,"475","1072296",https://www.airbnb.com/rooms/1072296,2021/12/17,PRETTY AND QUIET IN SANTO SPIRITO,"5925448",Michele,2013/04/14,"Florence, Tuscany, Italy","1",Centro Storico,43.767220000000002,11.246400000000000,Entire home/apt,"5",2.000000000000000,89.000000000000000,"16","46","76","351","2","0",,t,"1",2.890000000000000
480170060527,"213","33","52","94","12","94",480170060527,357.799642828999993,7002.938171470000270,"3605","17233703",https://www.airbnb.com/rooms/17233703,2021/12/17,"Firenze, ""A casa di Bibe"" - Zona Bellariva","100183302",Cristiana,2016/10/18,"Florence, Tuscany, Italy","1",Campo di Marte,43.767560000000003,11.284230000000001,Entire home/apt,"6",3.000000000000000,80.000000000000000,"20","50","80","350","7","0",,t,"1",2.290000000000000
480170060528,"262","25","87","123","41","116",480170060528,679.712907524999991,20949.376346199998807,"4144","19645668",https://www.airbnb.com/rooms/19645668,2021/12/17,Beautifull apartment in Florence downtown wifi AC,"5471208",Alessandro,2013/03/15,IT,"7",Isolotto Legnaia,43.767719999999997,11.237620000000000,Entire home/apt,"6",2.000000000000000,83.000000000000000,"0","0","0","129","4","0",,t,"5",0.870000000000000
480170060529,"2","0","1","2","1","3",480170060529,738.853931981999949,27396.751617000001715,"216","472854",https://www.airbnb.com/rooms/472854,2021/12/17,Florence Flat with garden &  free parking,"616226",Christina,2011/05/23,"Florence, Tuscany, Italy","3",Centro Storico,43.767969999999998,11.267300000000001,Entire home/apt,"6",3.000000000000000,155.000000000000000,"11","41","71","161","0","0",,f,"2",1.460000000000000
480170060530,"208","17","90","115","9","159",480170060530,458.442785350000008,12504.695864299999812,"116","224669",https://www.airbnb.com/rooms/224669,2021/12/17,CORTE D'ARNOLFO AMBRA APARTMENT,"1169561",Silverio,2011/09/16,"Florence, Toscana, Italy","3",Campo di Marte,43.767960000000002,11.271400000000000,Entire home/apt,"4",1.000000000000000,65.000000000000000,"8","8","37","217","2","0",,t,"3",0.580000000000000
480170060531,"525","39","195","254","15","285",480170060531,589.904627884999968,20715.168387599998823,"1166","3958594",https://www.airbnb.com/rooms/3958594,2021/12/17,Lungarni Apartment,"17359441",Franco,2014/06/28,"Milan, Lombardy, Italy","3",Campo di Marte,43.767350000000000,11.283080000000000,Entire home/apt,"4",2.000000000000000,75.000000000000000,"0","0","0","0","0","0",,f,"1",0.190000000000000
480170060532,"117","7","41","51","4","50",480170060532,325.031321570999978,6076.428476979999687,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060533,"98","35","11","50","7","60",480170060533,291.831571746000009,4456.074239739999939,"384","901910",https://www.airbnb.com/rooms/901910,2021/12/17,UFFIZI-PONTE VECCHIO apartment,"4818396",Cristiana,2013/01/23,"Florence, Tuscany, Italy","2",Centro Storico,43.767980000000001,11.259069999999999,Entire home/apt,"6",2.000000000000000,100.000000000000000,"16","33","63","283","11","0",,t,"2",1.660000000000000
480170060534,"315","16","114","151","15","129",480170060534,431.461569736999991,10898.492593499997383,"3692","17627279",https://www.airbnb.com/rooms/17627279,2021/12/17,Cute small studio apartment,"7936902",Chiara,2013/08/04,"Florence, Tuscany, Italy","1",Campo di Marte,43.767780000000002,11.281300000000000,Entire home/apt,"2",1.000000000000000,40.000000000000000,"0","0","0","0","0","0",,f,"1",0.030000000000000
480170060535,"25","4","10","15","10","25",480170060535,280.566619467999999,2999.447463070000140,"138","296113",https://www.airbnb.com/rooms/296113,2021/12/17,Studio Flat in the Historic Center,"1527944",Giovanni,2011/12/22,"Florence, Tuscany, Italy","11",Centro Storico,43.768099999999997,11.256399999999999,Entire home/apt,"4",,116.000000000000000,"0","0","0","0","0","0",,t,"4",1.720000000000000
480170060536,"569","44","209","296","40","278",480170060536,825.880582401999959,33171.337303699998301,"126","255154",https://www.airbnb.com/rooms/255154,2021/12/17,Serena's Charming 2 Bedroom Apt,"1340797",Bitte,2011/10/27,"Florence, Tuscany, Italy","2",Campo di Marte,43.768140000000002,11.280790000000000,Entire home/apt,"4",2.000000000000000,74.000000000000000,"8","31","56","295","2","0",,f,"2",1.750000000000000
480170060538,"36","3","13","21","3","23",480170060538,142.426656599000012,1079.114950359999966,"1499","5450549",https://www.airbnb.com/rooms/5450549,2021/12/17,CUTE AND ROMANTIC APARTMENT IN THE HEART OF FLORE,"28271047",Donatella,2015/02/24,"Figline e Incisa Valdarno, Toscana, Italy","5",Centro Storico,43.768509999999999,11.259320000000001,Entire home/apt,"3",1.000000000000000,92.000000000000000,"23","53","83","358","0","0",,t,"1",0.240000000000000
480170060539,"62","24","7","32","5","32",480170060539,286.493367063999983,4595.859314540000014,"1132","3777262",https://www.airbnb.com/rooms/3777262,2021/12/17,LIVE THE FLORENCE HISTORIC CENTRE AT BEST !,"16604186",Eugenia,2014/06/10,"Florence, Tuscany, Italy","3",Centro Storico,43.768340000000002,11.265300000000000,Entire home/apt,"6",2.000000000000000,35.000000000000000,"12","12","12","181","0","0",,t,"1",1.020000000000000
480170060540,"261","37","76","119","9","116",480170060540,874.249979850000045,20136.207538300001033,"5738","27862500",https://www.airbnb.com/rooms/27862500,2021/12/17,The house of Dea,"41533290",Daniela,2015/08/15,"Montespertoli, Tuscany, Italy","1",Isolotto Legnaia,43.767730000000000,11.208819999999999,Entire home/apt,"2",,70.000000000000000,"0","0","0","0","0","0",,f,"1",0.230000000000000
480170060541,"215","25","69","101","19","106",480170060541,1002.620662970000012,49071.420109099999536,"3743","17788475",https://www.airbnb.com/rooms/17788475,2021/12/17,PENTHOUSE APARTMENT SOUTH FLORENCE,"120212253",Paola,2017/03/11,"Florence, Tuscany, Italy","1",Campo di Marte,43.766530000000003,11.299060000000001,Entire home/apt,"4",1.000000000000000,57.000000000000000,"0","0","0","173","9","0",,t,"1",1.400000000000000
480170060542,"158","27","36","75","14","105",480170060542,517.822415468000031,12365.684439799997563,"226","497538",https://www.airbnb.com/rooms/497538,2021/12/17,Panoramic apartment in the center of Florence!,"2456439",Andrea,2012/05/24,"Florence, Toscana, Italy","1",Centro Storico,43.768400000000000,11.247010000000000,Entire home/apt,"2",1.000000000000000,65.000000000000000,"24","54","83","83","1","1",,f,"1",0.390000000000000
480170060543,"324","28","102","151","70","162",480170060543,729.961682791000044,32734.113506299996516,"1837","6827175",https://www.airbnb.com/rooms/6827175,2021/12/17,"Cosy & quiet, near the city center","35766074",Lorenzo,2015/06/14,"Florence, Tuscany, Italy","1",Isolotto Legnaia,43.769140000000000,11.208080000000001,Entire home/apt,"4",1.000000000000000,60.000000000000000,"0","15","45","135","0","0",,f,"1",0.490000000000000
