CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,A46,A47,PF1,E3,E27,COD_ISTAT,LOC2011,TIPO_LOC,COM_ASC,Shape_Leng,Shape_Area
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060001","60001","32","10002","3","251","20","92","116","40","126","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","3609.210033389999808","183780.157193999999436"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060002","60002","32","10002","3","15","3","3","7","4","8","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","139.328385790999988","910.416553522999948"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060003","60003","32","10002","3","20","1","7","8","1","8","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","332.033373449999999","5874.969467429999895"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060004","60004","32","10002","3","253","22","80","116","40","138","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","1218.794771769999898","78767.994413499996881"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060005","60005","32","10002","3","3","2","0","3","1","14","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","398.197557664999977","9825.547557019999658"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060006","60006","32","10002","3","161","13","52","69","17","66","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","649.800781859000040","17007.136484800001199"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060007","60007","32","10002","3","377","6","131","157","29","163","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","1774.784472860000051","146377.791788000002271"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060008","60008","32","10002","3","20","1","9","10","2","11","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","462.731054138999980","11745.757715900001131"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060009","60009","32","10002","3","21","1","7","11","6","10","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","440.121279448999985","11927.495920199999091"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060010","60010","32","10002","3","95","3","35","40","14","50","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","513.027534438999965","12093.306501200000639"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060011","60011","0","40002","3","91","7","19","36","36","63","9048017.000000000000000","4801740002.000000000000000","4.000000000000000","48017003.000000000000000","5312.040870810000342","777320.323020000010729"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060012","60012","32","10002","3","77","2","26","29","20","35","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","747.640487039000050","17592.037874199999351"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060013","60013","32","10002","3","18","0","7","7","4","6","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","278.039103389999980","3754.632944810000026"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060014","60014","32","10002","3","68","6","24","32","9","24","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","336.918683733000023","5153.564407060000121"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060015","60015","32","10002","3","115","3","39","45","21","45","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","514.848007466000013","12857.455108399999517"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060016","60016","32","10002","3","34","3","13","16","13","20","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","374.521727365000004","8341.638546469999710"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060017","60017","32","10002","3","139","6","48","66","12","61","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","452.821284342000013","8535.948307250000653"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060018","60018","32","10002","3","142","5","61","71","20","77","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","687.000451812000051","16369.081150899999557"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060019","60019","32","10002","3","38","20","1","21","1","14","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","89.845131763799998","532.430501036000010"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060020","60020","32","10002","3","127","7","44","55","11","55","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","302.512094099000024","4764.019168259999788"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060021","60021","32","10002","3","66","22","0","25","4","36","9048017.000000000000000","4801710002.000000000000000","1.000000000000000","48017003.000000000000000","268.498226488999990","4264.730208529999800"
