host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates
"10871006","1","1","1","1","0","1","3"
"108822998","4","12","4","0","4","4","8"
"108823286","1","2","1","1","0","0","2"
"10888948","1","1","1","1","0","1","2"
"108989672","1","1","1","1","0","2","5"
"10907601","8","16","8","2","0","10","25"
"1090891","1","1","1","1","0","1","2"
"109121892","1","3","1","1","1","1","4"
"1091607","4","24","4","1","4","6","12"
"1091803","1","1","1","0","0","1","1"
"109218403","2","0","2","0","0","3","4"
"109243561","1","2","1","0","0","1","1"
"10926673","1","0","1","1","0","1","5"
"10928614","9","90","9","9","9","16","43"
"109420424","2","2","2","2","0","3","6"
"10944260","1","1","1","1","0","3","5"
"109455096","1","2","1","1","0","1","2"
"10950750","1","1","1","1","0","1","2"
"10964262","1","1","1","1","0","1","4"
"10965225","2","4","2","2","0","3","11"
"109730251","1","1","1","1","0","3","5"
"109846839","4","16","4","4","4","6","19"
"10990422","10","2060","10","10","10","21","49"
"10992509","3","18","3","1","3","4","12"
"109957923","1","377","1","1","1","1","5"
"109957995","1","18","1","1","1","2","6"
"109977324","1","1","1","1","0","1","2"
"110034272","1","1","1","0","0","1","2"
"11007660","1","1","1","1","0","1","2"
"110110179","1","0","1","1","0","0","4"
"11041675","1","1","1","1","0","3","6"
"110438072","1","1","1","1","0","1","3"
"11046813","2","16","2","2","2","2","8"
"11048632","1","2","1","1","0","4","7"
"11065786","7","63","7","7","7","13","32"
"110662602","1","1","1","0","0","1","2"
"11066570","1","1","1","1","0","3","6"
"110756862","1","1","1","1","0","2","6"
"110974954","1","1","1","1","0","1","4"
"111011928","2","4","2","2","0","2","7"
"111067049","1","1","1","1","0","3","7"
"111136910","2","4","2","2","0","6","12"
"111266136","1","1","1","1","0","2","4"
"11127796","1","1","1","1","0","3","5"
"111419427","1","1","1","0","0","1","1"
"111465026","1","0","1","0","0","1","2"
"11157074","1","1","1","0","0","1","4"
"111624564","1","1","1","0","0","1","2"
"111690550","1","1","1","0","0","1","2"
"111716708","2","4","2","2","0","3","10"
"111765421","1","8","1","1","1","3","10"
"111795735","1","1","0","1","0","1","4"
"111908811","2","6","2","2","2","9","20"
"111920722","1","1","1","1","0","2","4"
"112204966","1","3","1","0","1","1","4"
"112235660","1","1","1","1","0","2","4"
"11232268","1","2","1","0","0","1","2"
"1123662","2","4","2","2","0","3","5"
"11236933","1","1","1","1","0","1","4"
"112506304","5","25","5","2","5","6","14"
"1125067","1","2","1","1","0","2","4"
"1125260","21","1176","21","21","21","20","89"
"112662579","1","1","1","0","0","1","2"
"11268970","1","1","1","1","0","1","4"
"112700312","1","2","1","1","0","1","4"
"11282535","1","1","1","1","0","1","2"
"11283689","1","1","1","1","0","1","2"
"112860924","1","1","1","1","0","2","5"
"112998992","4","16","4","1","4","5","14"
"113007410","1","1","1","1","0","1","2"
"11316647","2","4","2","2","0","3","10"
"113349416","1","2","1","1","0","2","6"
"113486443","1","1","1","1","0","1","4"
"113653798","1","1","1","1","0","1","3"
"11367381","1","1","1","1","0","1","5"
"113676570","2","2","2","2","0","3","7"
"11369661","1","1","1","1","0","2","6"
"113883","2","4","2","1","0","8","18"
"11393768","1","1","1","0","0","1","3"
"114011294","1","1","1","1","0","2","4"
"114052432","1","0","1","1","0","1","4"
"114110083","1","3","1","1","1","1","4"
"114135383","2","14","2","2","2","5","12"
"114253061","25","675","24","25","25","49","114"
"114345084","1","1","1","0","0","1","2"
"11449063","1","1","1","1","0","1","2"
"11449807","2","10","2","2","2","5","11"
"114510703","1","1","1","1","0","3","6"
"114516850","1","1","1","1","0","2","4"
"11455596","2","2","2","2","0","4","9"
"11455742","1","1","1","1","0","1","5"
"114639239","8","80","8","8","8","8","32"
"114660024","1","1","1","1","0","1","3"
"11466683","1","1","1","1","0","1","4"
"114771912","1","1","1","1","0","2","6"
"114843082","1","1","0","1","0","2","4"
"11486420","1","1","1","0","0","1","1"
"114925919","2","4","2","2","0","6","14"
"11500612","2","0","2","2","0","2","7"
"115355927","1","2","1","1","0","3","6"
"115456619","1","0","1","1","0","2","4"
"115549959","2","4","2","2","0","2","7"
"11562582","3","15","3","3","3","3","6"
"1156397","1","1","1","1","0","2","4"
"115693421","1","1","1","1","0","1","2"
"11572377","1","0","1","0","0","1","2"
"115915200","1","1","1","1","0","1","4"
"115933372","1","1","1","1","0","1","2"
"115947640","1","1","1","1","0","2","3"
"11601081","5","25","5","0","5","5","12"
"116019124","1","4","1","1","1","1","2"
"116050579","1","1","1","1","0","1","4"
"116057479","1","1","1","1","0","2","4"
"116058305","1","1","1","1","0","3","5"
"116067272","1","1","1","0","0","1","2"
"116186335","1","1","1","1","0","1","6"
"11619089","1","1","0","1","0","2","6"
"116197236","1","1","1","1","0","2","5"
"116223813","1","4","1","1","1","3","8"
"116517861","2","4","2","2","0","2","8"
"116736816","1","0","1","1","0","2","5"
"1167827","1","1","1","1","0","3","5"
"116803908","1","1","0","1","0","1","4"
"11680678","10","120","1","10","10","13","38"
"116811174","1","2","1","0","0","1","2"
"116812462","1","1","1","0","0","1","2"
"11683876","1","1","1","0","0","1","2"
"11687688","1","1","1","1","0","1","4"
"1168814","1","2","1","1","0","1","4"
