SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1
"480170060284","6","2","6","4","2","108","240","384"
"480170060286","1","0","1","1","0","30","169","207"
"480170060287","46","37","43","42","31","736","1380","2300"
"480170060289","30","18","30","23","14","1140","2880","4710"
"480170060290","2","0","2","1","0","16","30","54"
"480170060291","19","18","19","14","9","133","342","570"
"480170060292","29","21","29","25","14","1073","1450","2755"
"480170060293","67","52","61","57","40","1541","5092","7303"
"480170060294","10","7","8","8","7","340","1860","2520"
"480170060296","5","1","5","4","0","95","605","800"
"480170060299","2","0","2","2","0","14","24","42"
"480170060300","2","1","2","0","0","54","222","302"
"480170060301","11","9","11","7","8","0","0","0"
"480170060302","2","0","2","2","0","112","152","286"
"480170060306","1","1","1","1","0","35","95","135"
"480170060307","4","2","4","2","2","20","0","20"
"480170060308","17","12","17","12","5","1445","3196","5032"
"480170060309","8","5","8","3","4","456","1632","2304"
"480170060310","6","4","6","5","3","132","636","852"
"480170060313","5","4","5","3","4","515","330","930"
"480170060314","3","2","3","2","1","93","240","348"
"480170060315","2","1","2","1","0","120","142","302"
"480170060316","1","1","1","1","1","2","25","31"
"480170060317","9","5","9","6","2","207","909","1215"
"480170060318","1","1","1","0","0","33","9","44"
"480170060320","1","0","1","1","0","7","43","54"
"480170060323","2","1","2","1","1","8","22","42"
"480170060324","2","2","2","2","1","12","86","110"
"480170060328","2","2","2","0","1","56","398","478"
"480170060329","3","1","3","1","0","66","303","438"
"480170060332","1","0","1","1","0","14","68","90"
"480170060333","1","0","1","1","0","0","4","5"
"480170060335","2","1","2","1","1","14","86","118"
"480170060336","2","2","2","2","1","46","322","408"
"480170060337","6","5","6","6","5","30","0","30"
"480170060339","12","10","12","9","8","0","468","492"
"480170060340","7","6","7","2","6","35","161","238"
"480170060341","4","3","4","1","3","0","24","36"
"480170060342","2","1","2","2","1","24","126","170"
"480170060343","9","6","9","5","4","297","1611","2025"
"480170060348","1","0","1","0","0","88","402","532"
"480170060349","2","1","2","1","0","74","466","590"
"480170060350","1","0","1","1","0","0","16","18"
"480170060353","4","1","4","3","0","8","0","8"
"480170060357","9","2","9","8","2","261","414","756"
"480170060358","2","1","2","1","0","30","88","124"
"480170060360","12","7","12","11","5","228","324","624"
"480170060361","17","11","15","17","6","850","1649","2618"
"480170060362","36","20","34","29","10","468","2016","2844"
"480170060364","2","0","2","1","0","106","132","238"
"480170060366","7","5","7","7","5","119","182","315"
"480170060367","13","12","11","10","10","208","728","1066"
"480170060368","8","4","7","8","4","232","384","712"
"480170060369","13","9","11","11","5","520","1027","1664"
"480170060370","2","2","2","1","0","14","48","66"
"480170060371","11","9","10","9","7","33","154","198"
"480170060372","2","0","1","1","0","60","144","226"
"480170060374","15","10","14","14","9","165","360","675"
"480170060376","1","1","1","1","1","6","7","17"
"480170060379","2","2","1","1","2","58","166","250"
"480170060381","52","40","46","49","30","2392","5200","9048"
"480170060382","12","8","10","9","7","180","276","504"
"480170060383","9","5","8","7","3","54","198","324"
"480170060384","17","16","16","6","6","289","1037","1496"
"480170060385","1","0","1","1","0","0","6","7"
"480170060388","1","1","1","1","0","7","44","57"
"480170060389","1","0","1","1","0","4","52","67"
"480170060390","6","2","5","3","0","78","504","618"
"480170060391","2","1","2","1","0","40","358","426"
"480170060392","2","1","2","1","0","90","136","228"
"480170060393","24","16","21","20","12","1200","2784","4368"
"480170060394","7","6","6","7","4","42","266","343"
"480170060395","1","1","1","0","0","21","9","32"
"480170060397","2","0","2","0","0","10","90","106"
"480170060402","7","4","7","5","2","133","140","322"
"480170060403","25","18","24","25","14","1100","900","2250"
"480170060406","5","2","5","3","0","180","1075","1355"
"480170060407","4","3","4","3","1","28","128","160"
"480170060408","16","10","15","13","5","688","1392","2304"
"480170060409","45","29","45","31","21","2430","2790","6030"
"480170060410","11","8","10","7","5","319","187","506"
"480170060412","19","14","17","17","11","798","703","1615"
"480170060415","2","2","2","2","0","28","168","232"
"480170060416","7","5","7","7","4","56","91","154"
"480170060418","5","4","4","3","2","80","250","370"
"480170060419","5","4","5","1","4","0","25","35"
"480170060420","3","2","2","2","0","39","177","228"
"480170060421","25","19","24","25","17","500","425","1100"
"480170060422","2","1","2","2","0","4","0","4"
"480170060425","36","31","34","35","25","1800","2664","5148"
"480170060428","4","4","4","1","4","8","12","28"
"480170060430","1","0","1","1","0","6","13","25"
"480170060431","14","11","14","14","10","182","546","812"
"480170060432","6","4","5","6","3","42","186","264"
"480170060433","21","17","21","19","14","840","861","2037"
"480170060434","9","9","9","2","9","63","45","108"
"480170060435","29","19","26","28","16","1479","5249","7540"
"480170060436","227","161","215","212","121","36320","74456","132795"
"480170060437","9","7","8","7","4","18","234","297"
"480170060440","4","1","4","2","0","64","312","412"
"480170060443","1","1","1","1","0","2","50","62"
"480170060444","19","15","18","18","12","437","551","1121"
"480170060446","3","1","3","3","0","87","438","558"
"480170060448","34","24","29","33","19","1700","1938","4080"
"480170060449","3","2","3","3","0","48","381","462"
"480170060450","15","11","12","14","10","345","360","735"
"480170060452","4","4","3","4","3","4","20","24"
"480170060453","1","0","1","1","0","18","110","141"
"480170060455","7","5","5","2","5","434","1470","2114"
"480170060456","14","13","14","13","9","70","56","266"
"480170060458","1","1","1","1","0","2","7","9"
"480170060459","1","0","1","1","0","52","105","177"
"480170060460","64","40","59","58","32","3904","9600","17024"
"480170060461","1","0","1","0","0","39","81","125"
"480170060464","2","0","2","2","0","122","180","314"
"480170060465","1","0","1","0","0","3","4","7"
"480170060466","9","5","7","7","2","126","621","882"
"480170060469","1","1","1","1","0","17","116","142"
"480170060470","2","1","2","1","0","30","346","396"
"480170060471","4","2","4","2","0","68","344","464"
"480170060472","10","6","9","10","5","10","50","60"
"480170060473","5","5","5","5","3","100","675","830"
"480170060474","11","7","9","10","7","396","847","1331"
"480170060475","34","26","28","31","15","476","1020","1632"
"480170060476","2","2","2","2","2","0","0","0"
"480170060477","27","24","26","22","18","621","1404","2646"
"480170060478","2","1","2","1","0","40","126","174"
"480170060479","18","15","18","15","9","0","0","0"
"480170060480","21","15","21","20","10","336","819","1344"
"480170060482","2","2","2","2","2","12","10","28"
"480170060485","3","1","3","2","0","15","165","198"
"480170060488","3","1","3","1","0","75","345","453"
"480170060489","6","5","5","6","5","144","150","324"
"480170060490","1","0","1","0","0","13","38","53"
"480170060491","11","9","11","9","6","88","253","385"
"480170060492","22","17","21","20","14","242","880","1254"
"480170060493","20","16","20","18","13","120","560","780"
"480170060495","1","0","1","0","0","12","132","157"
"480170060497","2","0","1","0","0","18","88","120"
"480170060499","19","16","16","17","11","608","855","1691"
"480170060501","5","3","5","5","3","30","55","95"
"480170060502","1","0","1","1","0","9","54","72"
"480170060504","1","0","1","0","0","23","137","179"
"480170060505","3","0","3","2","0","12","216","255"
"480170060506","9","7","6","8","7","162","207","405"
"480170060507","2","0","2","1","0","78","106","188"
"480170060509","26","20","23","25","9","546","520","1404"
"480170060510","49","29","46","47","22","4802","7693","14651"
"480170060512","4","1","4","2","1","44","392","480"
"480170060513","13","10","13","12","7","221","416","650"
"480170060514","1","0","1","1","0","4","40","52"
"480170060515","3","0","2","3","0","87","330","459"
"480170060516","3","1","3","3","0","222","489","765"
"480170060517","3","3","3","3","3","0","3","36"
"480170060518","1","1","1","1","1","8","0","8"
"480170060521","10","6","9","8","4","60","430","510"
"480170060522","34","26","30","32","16","1428","3434","6426"
"480170060523","6","5","6","5","4","72","192","306"
"480170060524","17","16","17","17","16","34","102","170"
"480170060525","2","0","2","2","0","58","146","218"
"480170060526","54","35","47","43","23","972","3672","5670"
"480170060527","2","0","2","1","0","66","104","188"
"480170060528","1","1","1","1","1","25","87","123"
"480170060529","19","11","18","17","9","0","19","38"
"480170060530","7","4","7","5","1","119","630","805"
"480170060531","6","4","6","5","1","234","1170","1524"
"480170060533","29","22","28","24","11","1015","319","1450"
"480170060534","3","1","3","2","1","48","342","453"
"480170060535","9","9","8","9","8","36","90","135"
"480170060536","9","3","8","8","1","396","1881","2664"
"480170060538","8","7","7","8","6","24","104","168"
"480170060539","4","4","4","4","4","96","28","128"
"480170060540","1","1","1","1","0","37","76","119"
"480170060541","1","0","1","1","0","25","69","101"
"480170060542","20","12","19","19","8","540","720","1500"
"480170060543","1","0","1","1","0","28","102","151"
"480170060544","7","3","6","7","2","7","7","14"
"480170060545","14","13","12","14","9","126","70","224"
"480170060546","1","0","1","0","0","39","114","176"
"480170060547","15","12","15","14","10","150","465","735"
"480170060548","2","2","2","2","2","0","0","4"
"480170060551","22","19","21","20","16","528","1144","1870"
"480170060554","9","9","8","9","9","0","18","27"
"480170060555","4","0","4","1","0","36","408","496"
"480170060557","19","14","17","17","9","798","1311","2394"
"480170060558","8","7","8","8","5","176","256","504"
"480170060559","70","47","61","64","39","350","350","910"
"480170060560","14","9","14","11","8","336","252","686"
"480170060561","5","1","5","4","0","95","505","685"
"480170060563","10","5","9","10","3","320","990","1420"
"480170060564","2","1","2","0","1","8","60","72"
"480170060565","24","19","22","23","17","504","1320","2136"
"480170060566","15","10","15","13","6","120","270","435"
"480170060568","2","1","2","1","1","22","118","160"
"480170060570","16","11","15","15","7","304","96","432"
"480170060571","19","11","18","19","10","57","570","703"
"480170060573","12","6","12","12","4","132","468","684"
"480170060574","53","39","50","43","35","424","901","1537"
"480170060576","7","1","7","5","0","280","693","1078"
"480170060577","43","34","42","42","23","860","1462","2838"
"480170060578","2","1","2","2","0","76","386","496"
"480170060580","2","1","2","2","0","108","330","468"
"480170060581","25","22","25","24","20","200","850","1250"
"480170060582","3","1","3","3","0","183","192","399"
"480170060583","9","7","8","8","4","198","243","522"
"480170060584","19","14","15","19","9","228","589","950"
"480170060585","4","4","4","3","3","52","52","120"
"480170060586","14","13","14","10","11","168","84","266"
"480170060588","19","9","16","17","8","475","1197","1824"
"480170060589","32","25","30","31","19","928","1632","2880"
"480170060590","13","12","13","3","10","195","754","1014"
"480170060591","14","7","14","10","3","14","0","14"
"480170060592","8","6","6","6","5","160","384","768"
"480170060593","26","24","22","22","22","1222","2184","4472"
"480170060594","2","2","2","2","1","62","340","468"
"480170060595","11","9","11","10","4","176","220","462"
"480170060597","19","14","19","18","10","0","0","0"
"480170060598","1","0","1","1","0","32","85","132"
"480170060599","23","16","23","22","10","437","897","1610"
"480170060600","1","0","1","0","0","11","40","56"
"480170060601","6","5","6","5","4","36","30","90"
"480170060602","2","0","2","2","0","42","106","152"
"480170060603","20","9","17","15","8","300","660","1060"
"480170060604","2","1","2","2","1","0","0","0"
"480170060605","20","16","18","18","12","300","460","840"
"480170060606","56","31","53","46","21","1904","5600","8400"
"480170060607","8","6","6","8","5","0","0","0"
"480170060608","16","10","14","14","7","224","208","448"
"480170060609","13","10","11","12","8","78","26","117"
"480170060612","5","2","5","5","0","55","115","180"
"480170060613","4","3","3","4","2","12","56","80"
"480170060614","15","11","13","14","7","465","1230","1905"
"480170060615","2","1","2","2","1","48","282","362"
"480170060616","4","3","4","1","3","96","516","700"
"480170060617","14","10","10","13","7","196","294","588"
"480170060619","17","13","16","15","9","85","0","119"
"480170060620","3","2","3","2","1","33","234","324"
"480170060621","6","5","5","6","5","12","48","60"
"480170060622","27","16","25","21","14","432","1242","1863"
"480170060623","14","11","13","13","8","84","182","378"
"480170060624","2","0","2","1","0","40","198","274"
"480170060625","11","11","11","10","9","154","99","253"
"480170060626","25","11","25","22","7","950","2275","3475"
"480170060628","20","17","20","16","15","1500","260","1900"
"480170060629","20","12","19","16","10","260","300","760"
"480170060630","12","10","9","11","7","48","108","204"
"480170060631","10","9","9","9","7","310","390","770"
"480170060632","12","7","10","10","6","300","960","1356"
"480170060633","2","0","2","1","0","4","22","28"
"480170060634","2","1","2","2","1","120","324","478"
"480170060635","2","1","2","2","0","30","106","152"
"480170060636","4","3","3","3","3","12","20","32"
"480170060639","4","3","4","4","3","0","0","0"
"480170060640","5","3","5","5","2","45","55","135"
"480170060641","12","11","12","12","6","60","84","156"
