SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060408,3.5384615384615383,,2.3333333333333335,
480170060409,3.967741935483871,2.6666666666666665,2.5454545454545454,
480170060410,3.4285714285714284,,2.75,
480170060412,4.9411764705882355,,3.0,
480170060415,3.0,,,
480170060416,4.0,,,
480170060418,4.333333333333333,,3.0,
480170060419,5.0,,9.25,
480170060420,3.5,,2.0,
480170060421,4.28,,,
480170060422,4.5,,,
480170060425,3.3714285714285714,,2.0,
480170060428,2.0,,16.0,2.0
480170060430,4.0,,,
480170060431,3.7857142857142856,,,
480170060432,5.0,,,
480170060433,5.684210526315789,,2.0,
480170060434,4.5,,16.0,
480170060435,3.7142857142857144,,1.0,
480170060436,3.8867924528301887,2.0,2.2142857142857144,
480170060437,4.571428571428571,,3.0,
480170060440,4.0,,2.5,
480170060443,5.0,,,
480170060444,5.055555555555555,,3.0,
480170060446,4.0,,,
480170060448,3.393939393939394,,2.0,
480170060449,7.0,,,
480170060450,3.9285714285714284,,2.0,
480170060452,4.0,,,
480170060453,4.0,,,
480170060455,7.5,2.5,1.0,
480170060456,5.3076923076923075,,2.0,
480170060458,2.0,,,
480170060459,4.0,,,
480170060460,3.896551724137931,,2.1666666666666665,
480170060461,,,2.0,
480170060464,2.5,,,
480170060465,,,,2.0
480170060466,4.428571428571429,,1.5,
480170060469,4.0,,,
480170060470,6.0,,2.0,
480170060471,4.0,,2.0,
480170060472,4.0,,,
480170060473,3.2,,,
480170060474,3.2,,1.0,
480170060475,5.0,,2.3333333333333335,
480170060476,2.0,,,
480170060477,6.409090909090909,2.0,2.3333333333333335,
480170060478,6.0,,2.0,
480170060479,4.266666666666667,,2.3333333333333335,
480170060480,3.8,,2.0,
480170060482,6.5,,,
480170060485,5.5,,1.0,
480170060488,2.0,,2.0,
480170060489,3.8333333333333335,,,
480170060490,,,2.0,
480170060491,4.888888888888889,,2.0,
480170060492,4.75,,2.0,
480170060493,3.3333333333333335,,1.5,
480170060495,,,2.0,
480170060497,,,2.0,
480170060499,3.8823529411764706,2.0,2.0,
480170060501,4.8,,,
480170060502,4.0,,,
480170060504,,,2.0,
480170060505,3.0,,2.0,
480170060506,4.5,,1.0,
480170060507,4.0,,1.0,
480170060509,4.36,,3.0,
480170060510,3.6382978723404253,,1.5,
480170060512,3.0,,1.5,
480170060513,5.416666666666667,,2.0,
480170060514,6.0,,,
480170060515,2.3333333333333335,,,
480170060516,3.3333333333333335,,,
480170060517,5.333333333333333,,,
480170060518,5.0,,,
480170060521,3.5,,3.0,
480170060522,3.6875,,2.0,
480170060523,5.0,2.0,,
480170060524,3.235294117647059,,,
480170060525,5.0,,,
480170060526,4.372093023255814,2.0,2.4,
480170060527,6.0,,2.0,
480170060528,6.0,,,
480170060529,5.647058823529412,,2.5,
480170060530,5.4,,3.0,
480170060531,4.4,,1.0,
480170060533,4.625,3.0,2.5,1.0
480170060534,5.0,,2.0,
480170060535,4.222222222222222,,,
480170060536,3.625,,2.0,
480170060538,4.0,,,
480170060539,5.0,,,
480170060540,2.0,,,
480170060541,4.0,,,
480170060542,3.9473684210526314,,2.0,
480170060543,4.0,,,
480170060544,3.2857142857142856,,,
480170060545,4.642857142857143,,,
480170060546,,,2.0,
480170060547,4.571428571428571,2.0,,
480170060548,5.0,,,
480170060551,4.95,,2.0,
480170060554,4.222222222222222,,,
480170060555,4.0,,2.0,
480170060557,3.8823529411764706,,2.0,
480170060558,4.0,,,
480170060559,4.25,8.0,1.8,
480170060560,4.545454545454546,,2.3333333333333335,
480170060561,4.25,,2.0,
480170060563,3.2,,,
480170060564,,,1.5,
480170060565,4.695652173913044,,2.0,
480170060566,5.846153846153846,,2.5,
480170060568,4.0,,2.0,
480170060570,4.133333333333334,,2.0,
480170060571,4.105263157894737,,,
480170060573,4.166666666666667,,,
480170060574,4.372093023255814,2.0,2.2222222222222223,
480170060576,4.0,,3.0,
480170060577,4.714285714285714,,2.0,
480170060578,3.0,,,
480170060580,4.0,,,
480170060581,4.958333333333333,,2.0,
480170060582,2.3333333333333335,,,
480170060583,5.25,,2.0,
480170060584,4.2105263157894735,,,
480170060585,4.666666666666667,,2.0,
480170060586,5.2,3.0,1.0,
480170060588,4.176470588235294,,2.0,
480170060589,4.483870967741935,,3.0,
480170060590,3.6666666666666665,,1.9,
480170060591,3.8,,2.25,
480170060592,4.333333333333333,,2.5,
480170060593,4.0,,2.0,
480170060594,6.0,,,
480170060595,4.7,,2.0,
480170060597,4.888888888888889,,2.0,
480170060598,5.0,,,
480170060599,4.045454545454546,,2.0,
480170060600,,,1.0,
480170060601,3.8,,2.0,
480170060602,4.0,,,
480170060603,3.8,,2.2,
480170060604,3.0,,,
480170060605,4.333333333333333,,2.0,
480170060606,3.6956521739130435,4.0,1.7777777777777777,
480170060607,4.625,,,
480170060608,3.9285714285714284,,2.0,
480170060609,5.0,,,1.0
480170060612,3.8,,,
480170060613,4.5,,,
480170060614,3.9285714285714284,,2.0,
480170060615,5.0,,,
480170060616,2.0,,2.0,
480170060617,4.461538461538462,,2.0,
480170060619,3.933333333333333,,3.0,
480170060620,4.5,,3.0,
480170060621,6.166666666666667,,,
480170060622,4.285714285714286,,3.0,
480170060623,3.8461538461538463,,4.0,
480170060624,4.0,,1.0,
480170060625,3.9,,2.0,
480170060626,4.863636363636363,,1.6666666666666667,
480170060628,4.25,,1.75,
480170060629,3.0625,,2.25,
480170060630,3.909090909090909,,2.0,
480170060631,3.7777777777777777,,1.0,
480170060632,3.3,,2.0,
480170060633,2.0,,2.0,
480170060634,3.5,,,
480170060635,5.5,,,
480170060636,5.333333333333333,,2.0,
480170060639,3.5,,,
480170060640,3.2,,,
480170060641,4.5,,,
480170060642,4.814814814814815,,2.75,
480170060643,4.15,,2.0,
480170060644,5.166666666666667,,1.0,
480170060645,4.25,,,
480170060646,6.0,,4.0,
480170060647,4.0,,2.5,
480170060648,4.2727272727272725,,3.5,
480170060649,3.0,,2.0,
480170060650,4.25,4.0,2.75,
480170060652,4.333333333333333,,2.0,
480170060653,4.75,,2.3333333333333335,
480170060654,4.083333333333333,,2.0,
480170060655,3.9,4.0,1.0,
480170060656,5.0,,,
480170060659,4.6,,2.1666666666666665,
480170060660,5.909090909090909,,2.0,
480170060661,2.0,,,
480170060662,4.111111111111111,,2.0,
480170060663,4.25,,2.0,
480170060664,3.8,,,
480170060665,4.5,,,
480170060666,3.6,,2.0,
480170060667,4.0,,2.0,
480170060668,4.0,,2.3333333333333335,
480170060669,4.142857142857143,,2.0,
480170060671,4.12,,2.0,
480170060673,4.111111111111111,,2.5,
480170060674,4.076923076923077,,2.5,
480170060675,3.0,,1.0,
480170060676,12.0,,,
480170060677,3.0,,,
480170060678,2.0,,2.0,
480170060681,4.0,,1.0,
480170060682,4.285714285714286,2.0,2.2857142857142856,
480170060683,4.266666666666667,,1.5,
480170060684,6.0,,2.0,
480170060685,3.769230769230769,,3.0,
480170060686,2.6666666666666665,,3.0,
480170060687,3.5,,2.0,
480170060689,5.666666666666667,,,
480170060690,4.0,,,
480170060691,3.3333333333333335,,,
480170060692,6.0,,1.5,
480170060693,4.666666666666667,,2.0,
480170060694,4.3,,2.0,
480170060695,3.0,,,
480170060699,4.0,,3.0,
480170060700,3.9375,,9.0,
480170060701,5.7,2.0,,
480170060702,5.166666666666667,,2.5,
480170060703,4.166666666666667,,,
480170060704,3.3333333333333335,,,
480170060705,3.2857142857142856,,2.0,
480170060706,4.0,,,
480170060707,4.5,,2.0,
480170060709,3.6,,,
480170060710,3.5,,2.0,
480170060711,4.454545454545454,,3.0,
480170060712,2.0,,,
480170060713,4.1,,1.5,
480170060714,3.5,,2.0,
480170060715,4.375,,2.4,
480170060717,2.5,,3.0,
480170060718,5.333333333333333,,,
480170060719,2.0,,,
480170060720,3.25,,2.5,
480170060721,3.888888888888889,,,
480170060722,4.0,,,
480170060724,4.0,,,
480170060725,4.8,,,
480170060726,4.0,,,
480170060727,,,2.0,
480170060728,2.0,,,
480170060730,3.857142857142857,,1.5,
480170060731,5.0,,2.0,
480170060732,4.5,,2.0,
480170060733,,,2.0,
480170060734,4.380952380952381,,3.0,
480170060735,3.888888888888889,,2.6666666666666665,
480170060738,4.0,,3.0,
480170060740,4.444444444444445,,,
480170060741,3.25,,1.0,
480170060743,4.285714285714286,,2.0,
480170060746,3.8,,,
480170060747,4.631578947368421,,2.3333333333333335,
480170060748,5.0,,,
480170060750,4.571428571428571,,1.5,
480170060751,4.0,,,
480170060752,3.857142857142857,,,
480170060753,3.6363636363636362,,,
480170060754,5.2727272727272725,,2.1818181818181817,
480170060755,5.266666666666667,,1.0,
480170060756,4.0,,,
480170060757,4.666666666666667,,2.0,
480170060758,3.8181818181818183,,1.0,
480170060759,,,2.0,
480170060760,5.333333333333333,,1.6666666666666667,1.0
480170060761,3.3333333333333335,,,
480170060762,3.5,,,
480170060763,4.0,,1.75,
480170060764,4.666666666666667,,,
480170060765,3.0,,,
480170060766,6.0,,,
480170060767,3.1666666666666665,,,
480170060768,5.0,,2.0,
480170060771,3.6666666666666665,,1.5,
480170060772,3.0,,,
480170060774,4.0,,2.0,
480170060775,4.0,,3.0,
480170060777,5.714285714285714,,2.0,
480170060779,4.0,,2.3333333333333335,
480170060781,4.571428571428571,,2.2,
480170060782,5.176470588235294,2.0,2.0,
480170060783,3.0,,4.0,
480170060784,,,2.0,
480170060785,4.0,2.3333333333333335,,
480170060787,5.333333333333333,,2.0,
480170060789,3.6666666666666665,,3.5,
480170060790,5.333333333333333,,2.0,
480170060791,4.083333333333333,,2.3333333333333335,
480170060793,4.5,,,
480170060795,3.8,,,
480170060796,5.428571428571429,,,
480170060798,4.619047619047619,,2.6666666666666665,
480170060799,3.6153846153846154,,3.25,
480170060800,3.5,2.0,,
480170060801,4.0,,,
480170060802,4.0,,3.0,
480170060803,5.857142857142857,,4.0,
480170060804,3.697674418604651,,1.6666666666666667,
480170060807,1.0,,,
480170060809,4.25,,,
480170060810,4.0,2.0,,
480170060812,4.470588235294118,,2.0,
480170060815,4.346153846153846,,1.6666666666666667,
480170060816,4.0,2.0,,
480170060817,3.25,,2.25,
480170060818,4.138461538461539,4.0,2.3076923076923075,
480170060819,4.333333333333333,,2.0,
480170060820,,,2.0,
480170060821,6.0,,,
480170060822,4.909090909090909,,2.0,
480170060823,5.0,,,
480170060824,4.0,,,
480170060825,4.230769230769231,,2.0,
480170060826,3.0,,,
480170060827,2.0,,,
480170060828,4.666666666666667,,,
480170060829,4.6,,16.0,
480170060830,4.0,,,
480170060831,,,2.0,
480170060833,6.5,2.0,2.5,
480170060835,5.25,,2.0,
480170060836,3.3636363636363638,,2.5,
480170060837,6.5,,,
480170060838,4.3125,,1.6666666666666667,
480170060839,3.8,2.0,1.3333333333333333,
480170060840,4.25,,,
480170060841,4.666666666666667,,2.0,
480170060842,4.689655172413793,,2.0,
480170060843,4.0,,3.2,
480170060844,3.1538461538461537,,2.5,
480170060845,4.0,,,
480170060846,3.933333333333333,2.0,3.0,
480170060847,3.769230769230769,,2.1666666666666665,
480170060848,4.0,,,
480170060850,,,2.0,
480170060851,4.166666666666667,,2.0,
480170060852,4.0,,,
