SEZ2011,AGG_COUNT,bedrooms,accommodates,E27,PF1
"480170061263","27","30","79","3699","3375"
"480170061266","1","1","4","352","345"
"480170061268","12","17","41","0","276"
"480170061270","1","1","3","25","13"
"480170061271","7","9","21","63","63"
"480170061273","2","2","7","276","268"
"480170061275","2","4","10","0","0"
"480170061276","30","46","120","5130","3720"
"480170061277","1","1","2","62","73"
"480170061278","1","1","4","55","49"
"480170061279","7","14","31","210","56"
"480170061280","13","14","37","442","403"
"480170061283","7","11","29","441","196"
"480170061285","4","7","17","12","12"
"480170061286","23","38","91","3703","2438"
"480170061288","22","33","92","2530","1276"
"480170061290","2","4","7","1104","1154"
"480170061292","1","1","2","83","82"
"480170061294","2","5","12","8","10"
"480170061295","1","1","2","182","173"
"480170061296","9","14","38","477","279"
"480170061297","2","4","8","528","480"
"480170061299","6","9","27","162","96"
"480170061300","3","5","14","330","345"
"480170061301","42","54","130","6888","6174"
"480170061303","8","11","29","480","360"
"480170061305","3","5","15","309","216"
"480170061309","3","8","21","123","66"
"480170061312","1","2","5","264","272"
"480170061314","1","3","7","49","50"
"480170061315","21","27","76","3318","2856"
"480170061317","31","48","125","8308","7688"
"480170061318","4","7","20","456","392"
"480170061321","17","25","65","1921","1955"
"480170061325","13","23","49","546","286"
"480170061326","28","47","112","3388","2324"
"480170061328","3","4","12","150","120"
"480170061329","1","2","4","6","4"
"480170061331","1","1","2","243","208"
"480170061333","8","10","25","2384","2232"
"480170061335","8","10","22","560","640"
"480170061336","16","23","55","5168","4320"
"480170061338","17","22","59","1071","714"
"480170061339","3","3","6","180","135"
"480170061340","4","4","12","1260","1272"
"480170061341","11","16","44","726","330"
"480170061343","8","14","41","968","856"
"480170061344","1","1","2","6","3"
"480170061345","9","13","32","1377","882"
"480170061346","2","3","8","108","66"
"480170061347","6","7","26","486","462"
"480170061348","10","15","38","1010","880"
"480170061349","11","16","44","979","1045"
"480170061350","12","15","31","2436","2412"
"480170061352","5","7","14","305","285"
"480170061353","5","8","17","325","340"
"480170061354","1","1","2","391","386"
"480170061355","1","1","4","0","0"
"480170061358","4","7","20","552","264"
"480170061359","4","8","19","168","184"
"480170061360","1","2","6","131","142"
"480170061361","6","6","15","12","6"
"480170061362","1","1","1","28","35"
"480170061363","1","1","2","22","20"
"480170061365","5","6","13","320","0"
"480170061366","19","22","62","1501","1121"
"480170061368","1","1","4","71","80"
"480170061369","5","6","17","280","190"
"480170061370","10","17","42","1530","1720"
"480170061371","1","1","2","66","60"
"480170061375","2","4","10","148","190"
"480170061377","46","74","182","7636","5474"
"480170061378","3","4","10","375","375"
"480170061379","6","6","14","330","372"
"480170061380","6","8","18","198","210"
"480170061381","1","3","10","88","96"
"480170061383","3","5","11","978","996"
"480170061384","4","3","8","832","688"
"480170061386","1","1","2","70","60"
"480170061388","5","6","18","125","85"
"480170061390","14","18","53","1680","1204"
"480170061391","1","0","2","29","30"
"480170061393","11","21","52","627","473"
"480170061394","1","1","1","61","47"
"480170061395","14","20","47","0","0"
"480170061396","4","5","11","4","8"
"480170061397","2","3","5","0","0"
"480170061399","2","5","14","62","68"
"480170061400","34","45","113","4284","3706"
"480170061401","3","4","10","537","543"
"480170061402","2","4","8","210","226"
"480170061403","2","4","11","246","176"
"480170061404","7","8","25","826","805"
"480170061406","1","1","2","37","56"
"480170061408","8","10","23","632","504"
"480170061410","4","5","12","0","0"
"480170061411","1","2","4","860","850"
"480170061412","2","3","8","414","462"
"480170061414","13","18","43","767","572"
"480170061415","5","5","13","680","430"
"480170061416","2","3","8","78","64"
"480170061418","3","4","14","462","456"
"480170061419","3","5","10","375","411"
"480170061420","1","1","2","116","130"
"480170061422","6","7","18","954","822"
"480170061423","15","35","93","2520","1305"
"480170061424","16","21","56","5104","4288"
"480170061425","5","5","16","505","235"
"480170061426","2","3","8","108","92"
"480170061427","2","4","6","324","350"
"480170061429","5","7","19","460","465"
"480170061431","3","6","12","18","18"
"480170061432","2","2","3","184","124"
"480170061433","1","1","2","7","7"
"480170061434","3","4","11","297","303"
"480170061435","8","10","26","1040","952"
"480170061436","17","27","66","1428","918"
"480170061437","1","1","4","57","79"
"480170061439","6","7","17","564","462"
"480170061440","7","10","21","1001","616"
"480170061442","4","5","10","340","344"
"480170061443","1","1","2","84","80"
"480170061444","2","1","6","146","146"
"480170061445","9","10","27","1197","1422"
"480170061446","1","2","4","135","138"
"480170061448","1","1","3","52","48"
"480170061449","2","2","6","190","158"
"480170061450","13","41","42","962","351"
"480170061451","4","4","13","376","372"
"480170061452","5","5","14","205","225"
"480170061453","2","3","8","324","162"
"480170061454","2","3","4","88","68"
"480170061457","1","1","2","52","50"
"480170061458","1","1","2","0","7"
"480170061459","9","19","28","27","36"
"480170061460","2","2","5","36","44"
"480170061461","1","1","2","69","70"
"480170061463","5","10","21","560","470"
"480170061464","3","4","14","21","21"
"480170061465","1","2","4","61","37"
"480170061466","2","4","10","92","90"
"480170061467","2","2","3","110","64"
"480170061469","13","18","43","1885","1105"
"480170061470","2","3","8","62","60"
"480170061473","3","3","8","294","297"
"480170061474","2","4","8","54","48"
"480170061476","13","22","53","1352","1300"
"480170061477","2","2","4","250","230"
"480170061478","4","4","12","828","568"
"480170061479","12","15","39","1356","828"
"480170061480","4","6","14","612","652"
"480170061481","4","6","14","796","588"
"480170061482","2","2","6","120","110"
"480170061483","1","1","4","56","55"
"480170061485","4","3","14","212","232"
"480170061487","4","5","10","392","288"
"480170061488","4","5","12","408","364"
"480170061489","4","6","12","0","0"
"480170061490","2","1","7","118","102"
"480170061491","6","8","22","612","558"
"480170061492","7","8","22","147","126"
"480170061493","3","6","16","327","312"
"480170061496","4","6","15","172","316"
"480170061497","6","9","20","480","324"
"480170061498","3","5","12","582","588"
"480170061499","1","1","2","57","53"
"480170061500","1","1","2","28","37"
"480170061501","3","3","5","456","393"
"480170061502","4","4","11","216","184"
"480170061503","3","6","14","381","255"
"480170061506","1","1","2","91","101"
"480170061507","3","4","8","399","384"
"480170061508","8","10","31","1880","1864"
"480170061510","5","5","14","790","785"
"480170061511","2","2","7","226","140"
"480170061512","1","2","6","69","66"
"480170061514","5","3","15","550","475"
"480170061516","1","2","4","116","136"
"480170061517","1","1","2","196","172"
"480170061519","1","2","4","93","98"
"480170061520","3","4","11","174","210"
"480170061521","10","19","36","2200","1800"
"480170061522","3","3","7","543","495"
"480170061523","4","7","17","380","420"
"480170061524","1","1","4","199","199"
"480170061525","3","4","14","381","357"
"480170061528","1","1","3","61","60"
"480170061529","4","4","8","716","720"
"480170061531","18","21","66","1296","954"
"480170061535","3","8","16","717","762"
"480170061536","7","9","20","1127","1078"
"480170061537","4","6","12","520","444"
"480170061539","1","1","2","99","88"
"480170061540","1","1","2","78","62"
"480170061541","5","7","22","790","760"
"480170061542","1","1","4","24","34"
"480170061544","7","14","31","1218","1141"
"480170061545","1","2","4","19","14"
"480170061546","4","7","13","380","304"
"480170061547","5","5","9","250","310"
"480170061548","4","6","13","0","20"
"480170061549","4","12","28","232","172"
"480170061551","5","6","18","655","695"
"480170061552","7","9","23","637","616"
"480170061553","1","1","2","0","27"
"480170061554","3","4","12","222","204"
"480170061556","5","5","15","825","645"
"480170061557","3","3","8","810","846"
"480170061559","3","3","9","36","21"
"480170061560","3","4","9","327","276"
"480170061561","1","1","2","80","80"
"480170061562","1","1","1","66","59"
"480170061563","7","8","16","56","0"
"480170061564","2","2","6","148","118"
"480170061565","3","3","9","447","393"
"480170061567","1","1","2","87","84"
"480170061568","6","7","16","918","744"
"480170061569","1","1","1","143","139"
"480170061570","3","4","11","192","219"
"480170061571","1","4","6","119","102"
"480170061572","3","3","12","204","300"
"480170061573","4","5","10","468","328"
"480170061574","4","4","12","200","152"
"480170061575","3","3","8","282","306"
"480170061576","1","1","2","33","38"
"480170061578","2","7","13","88","66"
"480170061579","4","7","16","100","80"
"480170061580","2","2","7","438","428"
"480170061581","3","2","10","747","678"
"480170061582","7","12","29","854","609"
"480170061583","1","1","4","73","82"
"480170061585","11","11","36","1188","1221"
"480170061587","2","2","7","242","228"
"480170061589","3","4","8","372","348"
"480170061590","1","1","1","40","40"
"480170061593","5","7","18","770","760"
"480170061594","4","4","7","452","424"
"480170061596","6","7","16","1488","1464"
"480170061597","2","2","4","2","54"
"480170061598","12","17","40","960","1188"
"480170061599","1","3","5","94","83"
"480170061600","3","6","10","366","336"
"480170061601","5","13","26","730","740"
"480170061602","1","1","4","35","35"
"480170061604","2","3","4","198","184"
"480170061605","1","1","2","29","27"
"480170061606","12","18","41","3996","3588"
"480170061607","2","13","24","6","2"
"480170061608","2","2","6","302","290"
"480170061609","2","2","6","310","190"
"480170061612","2","2","4","292","280"
"480170061613","11","14","27","231","242"
"480170061616","13","22","56","3874","3835"
"480170061619","2","2","6","188","214"
"480170061620","3","3","8","975","888"
"480170061622","1","2","4","38","36"
"480170061623","4","7","19","828","948"
"480170061624","5","4","15","105","105"
"480170061626","1","2","6","62","58"
"480170061629","10","15","42","5870","5670"
"480170061630","2","2","5","62","74"
"480170061632","8","15","37","2472","2448"
"480170061634","5","4","15","1105","1150"
"480170061637","1","1","2","53","49"
"480170061638","1","1","2","97","69"
"480170061639","2","2","7","114","108"
"480170061640","2","2","3","236","228"
"480170061641","6","10","17","2898","2850"
"480170061643","1","1","2","35","31"
"480170061645","5","5","13","4310","4165"
"480170061646","7","9","30","1456","1575"
"480170061647","3","4","10","981","921"
"480170061649","6","7","21","1374","1176"
"480170061650","1","1","4","94","87"
"480170061652","1","1","2","83","76"
"480170061653","1","2","6","111","86"
"480170061654","1","2","6","0","4"
"480170061655","2","4","7","236","244"
"480170061656","1","5","10","65","64"
"480170061659","8","10","28","1256","960"
"480170061660","1","1","2","14","15"
"480170061661","11","12","34","3058","2805"
"480170061663","5","7","22","1845","1645"
"480170061664","4","7","20","428","360"
"480170061665","2","1","6","118","116"
"480170061667","6","11","23","1632","1542"
"480170061668","3","5","8","597","483"
"480170061669","17","25","48","6120","5304"
"480170061670","5","6","14","1095","580"
"480170061672","8","8","17","3896","3584"
"480170061673","4","3","10","200","200"
"480170061674","3","3","6","225","231"
"480170061675","1","2","4","146","114"
"480170061677","2","3","10","206","262"
"480170061681","3","3","8","273","237"
"480170061683","1","1","4","238","219"
"480170061684","9","14","39","3168","2052"
"480170061685","1","0","4","92","0"
"480170061686","3","5","11","54","39"
"480170061688","4","6","13","788","888"
"480170061689","2","2","6","110","86"
"480170061691","4","4","14","1152","1204"
"480170061692","3","4","10","597","600"
"480170061693","9","9","23","4032","3861"
"480170061694","3","6","13","168","159"
"480170061695","3","11","26","324","219"
"480170061696","1","1","2","143","123"
"480170061697","1","1","2","21","19"
"480170061698","1","1","5","137","142"
"480170061699","6","9","24","666","756"
"480170061700","4","5","12","408","344"
"480170061701","3","7","16","351","396"
"480170061704","2","2","4","244","208"
"480170061710","2","3","8","176","220"
"480170061712","1","3","7","161","185"
"480170061713","2","3","9","152","152"
"480170061714","5","5","14","1070","1230"
"480170061715","1","1","3","62","56"
"480170061716","3","4","8","0","0"
"480170061721","1","1","3","39","45"
"480170061722","6","6","13","1212","1302"
"480170061724","1","1","2","14","14"
"480170061732","5","8","18","605","610"
"480170061734","1","0","2","64","63"
"480170061736","4","5","11","976","1004"
"480170061737","4","6","14","564","552"
"480170061738","7","10","27","1176","1141"
"480170061739","5","7","20","850","795"
"480170061742","8","8","17","2128","2016"
"480170061744","1","1","2","83","86"
"480170061745","1","2","4","45","38"
"480170061747","1","3","5","38","38"
"480170061750","6","6","12","1092","1188"
"480170061752","3","3","10","9","9"
"480170061754","1","1","4","9","9"
"480170061755","5","8","13","1530","1205"
"480170061759","1","1","2","124","86"
"480170061760","1","2","4","13","14"
"480170061764","1","1","2","123","111"
"480170061768","2","2","6","136","96"
"480170061769","2","4","7","8","8"
"480170061770","1","2","5","101","57"
"480170061771","2","2","4","572","424"
"480170061772","1","1","2","49","37"
"480170061779","1","2","6","154","177"
"480170061781","1","1","2","238","200"
"480170061782","1","1","1","143","117"
"480170061783","1","1","3","170","0"
"480170061786","1","1","2","206","204"
"480170061787","1","1","2","78","69"
"480170061792","5","6","19","1600","1705"
"480170061793","2","3","7","126","132"
"480170061794","8","8","24","720","704"
"480170061796","1","2","4","1","0"
"480170061798","2","3","7","260","266"
"480170061799","1","2","4","25","24"
"480170061804","3","5","14","330","387"
"480170061805","3","3","9","768","741"
"480170061808","5","4","11","805","890"
"480170061813","1","2","7","229","194"
"480170061814","2","3","6","190","176"
"480170061816","1","2","4","72","52"
"480170061817","6","7","22","2706","2304"
"480170061819","1","1","3","16","16"
"480170061820","3","5","10","465","471"
"480170061822","2","2","4","144","138"
"480170061824","2","4","10","72","68"
"480170061826","3","5","10","510","384"
"480170061827","6","9","17","360","354"
"480170061831","2","3","10","130","102"
"480170061832","6","9","26","312","282"
"480170061834","8","10","26","5600","5592"
"480170061838","1","1","1","92","78"
"480170061840","4","5","16","468","444"
"480170061844","3","3","6","450","453"
"480170061848","3","5","14","57","30"
"480170061850","4","7","15","1060","828"
"480170061853","1","2","4","147","166"
"480170061856","1","1","5","236","238"
"480170061858","2","2","6","314","338"
"480170061862","2","5","14","644","624"
"480170061863","1","1","4","80","73"
"480170061866","1","1","4","85","73"
"480170061867","2","2","6","152","144"
"480170061869","2","3","8","124","124"
"480170061870","3","3","8","309","318"
"480170061873","3","4","8","1002","1080"
"480170061877","3","5","11","231","195"
"480170061878","2","5","15","402","402"
"480170061879","1","1","3","64","50"
"480170061880","19","25","63","9994","9481"
"480170061881","2","6","10","120","108"
"480170061884","2","3","6","752","756"
"480170061885","2","2","8","208","234"
"480170061886","13","18","44","3627","3952"
"480170061888","1","1","4","3","2"
"480170061890","2","2","5","196","196"
"480170061894","3","3","5","1074","1056"
"480170061895","2","2","4","136","130"
"480170061896","1","2","6","56","58"
"480170061897","1","4","9","265","222"
"480170061898","2","4","8","78","52"
"480170061900","6","8","20","3834","3762"
"480170061901","4","4","7","500","448"
"480170061902","1","1","4","151","143"
"480170061904","1","1","2","58","57"
"480170061905","1","1","4","130","128"
"480170061906","8","15","28","2176","1992"
"480170061910","1","1","2","84","84"
"480170061911","5","6","10","930","920"
"480170061912","7","8","17","581","560"
"480170061914","5","7","21","2125","2180"
"480170061915","3","6","12","447","408"
"480170061921","2","4","10","256","214"
"480170061922","5","4","10","1045","995"
"480170061924","7","7","12","1477","1526"
"480170061925","1","2","4","68","68"
"480170061928","3","3","6","378","276"
"480170061931","3","4","9","1386","1365"
"480170061932","7","9","20","994","854"
"480170061933","3","4","10","645","669"
"480170061936","4","4","9","416","388"
"480170061937","10","13","30","5740","5890"
"480170061938","2","2","3","280","264"
"480170061944","1","1","2","57","58"
"480170061945","3","3","7","771","708"
"480170061950","1","2","5","78","49"
"480170061952","1","1","2","127","157"
"480170061954","2","2","3","172","160"
"480170061955","2","2","5","350","246"
"480170061956","1","1","4","319","317"
"480170061957","1","2","1","84","79"
"480170061958","13","17","46","2912","2886"
"480170061959","1","1","4","197","193"
"480170061961","2","2","4","166","168"
"480170061963","2","5","10","760","746"
"480170061965","7","9","21","749","651"
"480170061966","1","2","3","42","40"
"480170061967","1","1","2","218","183"
"480170061968","2","5","8","228","204"
"480170061969","1","1","2","86","60"
"480170061974","1","1","2","9","10"
"480170061978","4","5","15","16","36"
"480170061979","10","12","20","1640","1560"
"480170061983","1","2","5","148","135"
"480170061984","1","1","2","60","56"
"480170061985","2","3","12","82","76"
"480170061986","4","5","8","640","616"
"480170061987","2","2","7","366","358"
"480170061988","10","8","34","270","280"
"480170061989","1","2","5","24","19"
"480170061990","1","0","4","102","91"
"480170061991","3","5","13","597","651"
"480170061992","2","2","4","162","164"
"480170061994","8","10","25","2288","2392"
"480170061996","4","6","15","664","664"
"480170062004","2","2","9","364","298"
"480170062006","1","1","3","210","212"
"480170062007","1","3","8","74","59"
"480170062008","6","8","18","504","462"
"480170062012","3","3","6","6","6"
"480170062014","1","2","6","139","160"
"480170062016","1","2","4","183","161"
"480170062017","1","1","2","79","79"
"480170062018","1","2","5","1","1"
"480170062019","1","2","4","42","41"
"480170062020","5","4","13","2045","2320"
"480170062021","1","2","5","26","22"
"480170062024","1","1","2","25","19"
"480170062025","3","3","8","375","291"
"480170062026","2","3","7","428","450"
"480170062027","1","1","1","53","55"
"480170062032","3","3","10","1275","1257"
"480170062035","12","14","35","8580","9072"
"480170062036","3","4","8","75","126"
"480170062040","2","2","5","764","742"
"480170062041","3","5","11","603","639"
"480170062048","1","1","2","198","196"
"480170062049","2","2","3","1074","1060"
"480170062050","6","8","19","966","852"
"480170062052","1","1","4","34","33"
"480170062054","2","1","4","124","142"
"480170062055","3","5","11","456","438"
"480170062057","1","1","2","270","284"
"480170062058","1","1","2","85","76"
"480170062059","1","1","4","13","14"
"480170062062","3","4","9","87","81"
"480170062066","2","2","5","264","274"
"480170062069","1","2","4","52","38"
"480170062072","1","2","4","28","29"
"480170062079","3","3","15","921","945"
"480170062081","1","1","3","174","163"
"480170062085","1","2","4","66","67"
"480170062087","1","2","3","18","16"
"480170062089","1","1","3","72","66"
"480170062090","4","19","43","208","200"
"480170062091","1","1","4","77","74"
"480170062093","3","8","20","18","9"
"480170062094","4","7","16","236","232"
"480170062096","1","8","16","32","13"
"480170062097","10","15","41","5150","5110"
"480170062098","1","1","4","78","79"
"480170062099","1","1","5","85","86"
"480170062103","1","1","3","114","105"
"480170062105","2","3","6","80","36"
"480170062106","1","2","4","243","214"
"480170062108","1","1","2","28","20"
"480170062109","1","2","6","3","3"
"480170062110","1","1","4","40","33"
"480170062111","1","2","7","18","15"
"480170062119","1","2","4","48","37"
"480170062120","3","10","21","24","15"
"480170062121","2","4","7","152","130"
"480170062122","2","3","5","124","42"
"480170062124","1","0","2","57","30"
"480170062125","2","6","12","406","280"
"480170062126","5","11","21","1080","635"
"480170062127","12","14","33","6672","7152"
"480170062131","3","6","13","114","93"
"480170062133","1","0","4","26","20"
"480170062135","1","2","5","129","125"
"480170062137","1","1","2","12","8"
"480170062140","2","6","13","352","226"
"480170062142","1","4","8","1","1"
"480170062143","1","3","6","9","4"
"480170062147","2","2","4","54","12"
"480170062149","1","4","10","7","7"
"480170062150","3","3","5","123","117"
"480170062154","6","10","25","654","384"
"480170062155","2","2","5","922","878"
"480170062157","1","1","2","109","105"
"480170062158","1","1","2","47","32"
"480170062159","3","4","8","171","51"
"480170062160","1","1","2","59","37"
"480170062161","2","4","9","48","14"
"480170062162","1","2","5","17","11"
"480170062163","1","2","4","15","9"
"480170062164","3","4","10","234","135"
"480170062167","2","3","7","572","376"
"480170062169","2","3","8","48","40"
"480170062177","63","116","303","10773","6930"
"480170062181","1","1","4","87","34"
"480170062186","1","3","6","1","0"
