SEZ2011,AGG_COUNT,price
"480170060001","3",2681.000000000000000
"480170060004","2",58.000000000000000
"480170060005","1",114.000000000000000
"480170060011","4",233.750000000000000
"480170060014","1",65.000000000000000
"480170060031","1",80.000000000000000
"480170060033","1",130.000000000000000
"480170060037","1",120.000000000000000
"480170060039","2",65.000000000000000
"480170060044","2",149.000000000000000
"480170060049","1",344.000000000000000
"480170060053","1",98.000000000000000
"480170060058","2",887.500000000000000
"480170060059","13",161.461538461538453
"480170060061","4",57.500000000000000
"480170060062","2",95.500000000000000
"480170060068","1",548.000000000000000
"480170060070","6",75.333333333333329
"480170060071","4",191.500000000000000
"480170060073","1",151.000000000000000
"480170060074","1",65.000000000000000
"480170060079","3",54.333333333333336
"480170060082","4",63.750000000000000
"480170060084","1",98.000000000000000
"480170060085","5",102.799999999999997
"480170060086","2",70.000000000000000
"480170060087","1",135.000000000000000
"480170060093","2",132.000000000000000
"480170060094","4",109.500000000000000
"480170060095","3",75.000000000000000
"480170060096","5",64.599999999999994
"480170060098","3",1489.000000000000000
"480170060099","7",61.428571428571431
"480170060100","4",68.250000000000000
"480170060102","2",75.000000000000000
"480170060106","8",100.000000000000000
"480170060110","2",139.500000000000000
"480170060115","5",128.800000000000011
"480170060118","1",321.000000000000000
"480170060122","1",200.000000000000000
"480170060123","5",162.800000000000011
"480170060124","3",83.333333333333329
"480170060126","1",52.000000000000000
"480170060127","4",44.750000000000000
"480170060128","1",90.000000000000000
"480170060132","4",252.500000000000000
"480170060133","1",50.000000000000000
"480170060134","2",92.000000000000000
"480170060137","1",94.000000000000000
"480170060139","1",350.000000000000000
"480170060140","11",73.181818181818187
"480170060142","10",102.799999999999997
"480170060144","1",50.000000000000000
"480170060150","2",50.000000000000000
"480170060151","1",35.000000000000000
"480170060152","23",86.304347826086953
"480170060153","3",104.333333333333329
"480170060154","5",114.599999999999994
"480170060156","1",65.000000000000000
"480170060157","2",93.000000000000000
"480170060161","3",243.333333333333343
"480170060162","7",684.571428571428555
"480170060163","4",131.000000000000000
"480170060164","1",129.000000000000000
"480170060165","8",194.750000000000000
"480170060166","1",200.000000000000000
"480170060168","1",2480.000000000000000
"480170060169","1",79.000000000000000
"480170060171","12",75.750000000000000
"480170060172","1",43.000000000000000
