SEZ2011,E27
480170060001,378
480170060004,276
480170060005,14
480170060011,252
480170060014,24
480170060031,97
480170060033,118
480170060037,92
480170060039,408
480170060044,18
480170060049,23
480170060053,53
480170060058,248
480170060059,832
480170060061,332
480170060062,4
480170060068,124
480170060070,48
480170060071,520
480170060073,38
480170060074,24
480170060079,420
480170060082,364
480170060084,4
480170060085,1225
480170060086,192
480170060087,20
480170060093,288
480170060094,256
480170060095,69
480170060096,720
480170060098,39
480170060099,1267
480170060100,260
480170060102,84
480170060106,1584
480170060110,204
480170060115,345
480170060118,121
480170060122,3
480170060123,290
480170060124,972
480170060126,80
480170060127,1940
480170060128,16
480170060132,124
480170060133,48
480170060134,62
480170060137,5
480170060139,132
480170060140,1793
480170060142,750
480170060144,46
480170060150,186
480170060151,59
480170060152,4324
480170060153,120
480170060154,260
480170060156,17
480170060157,138
480170060161,294
480170060162,3115
480170060163,136
480170060164,113
480170060165,696
480170060166,79
480170060168,0
480170060169,2
480170060171,912
480170060172,108
480170060175,1195
480170060176,308
480170060177,61
480170060178,38
480170060179,121
480170060182,1680
480170060183,30
480170060184,75
480170060187,157
480170060189,492
480170060193,62
480170060194,242
480170060198,32
480170060199,1206
480170060200,9
480170060202,24
480170060204,3857
480170060206,146
480170060208,138
480170060210,642
480170060212,124
480170060214,780
480170060216,302
480170060217,364
480170060218,456
480170060219,265
480170060221,110
480170060222,13
480170060225,672
480170060227,48
480170060228,43
480170060229,5
480170060230,123
480170060233,342
480170060234,1344
480170060236,202
480170060237,2794
480170060238,0
480170060239,252
480170060241,1984
480170060243,174
480170060244,116
480170060247,11
480170060248,201
480170060251,270
480170060252,323
480170060257,302
480170060258,23
480170060259,400
480170060262,336
480170060263,625
480170060268,1490
480170060269,160
480170060270,278
480170060271,372
480170060272,282
480170060273,248
480170060274,318
480170060277,190
480170060278,339
480170060279,396
480170060280,280
480170060281,138
480170060282,2230
480170060283,2
480170060284,672
480170060286,194
480170060287,3312
480170060289,5460
480170060290,50
480170060291,627
480170060292,2900
480170060293,9581
480170060294,2930
480170060296,665
480170060299,64
480170060300,274
480170060301,11
480170060302,332
480170060306,157
480170060307,24
480170060308,4726
480170060309,3064
480170060310,1224
480170060313,910
480170060314,495
480170060315,250
480170060316,30
480170060317,1116
480170060318,46
480170060320,54
480170060323,50
480170060324,120
480170060328,494
480170060329,453
480170060332,108
480170060333,59
480170060335,148
480170060336,350
480170060337,42
480170060339,924
480170060340,378
480170060341,36
480170060342,186
480170060343,2304
480170060348,538
480170060349,600
480170060350,19
480170060353,8
480170060357,1071
480170060358,168
480170060360,612
480170060361,2686
480170060362,3564
480170060364,250
480170060366,364
480170060367,1144
480170060368,624
480170060369,1781
480170060370,62
480170060371,264
480170060372,236
480170060374,1170
480170060376,19
480170060379,264
480170060381,8840
480170060382,936
480170060383,486
480170060384,2023
480170060385,11
480170060388,60
480170060389,68
480170060390,594
480170060391,438
480170060392,220
480170060393,5784
480170060394,371
480170060395,31
480170060397,108
480170060402,329
480170060403,2050
480170060406,1395
480170060407,204
480170060408,2288
480170060409,6435
480170060410,737
480170060412,1881
480170060415,254
480170060416,168
480170060418,375
480170060419,35
480170060420,231
480170060421,875
480170060422,12
480170060425,6012
480170060428,56
480170060430,31
480170060431,1848
480170060432,276
480170060433,2625
480170060434,117
480170060435,6322
480170060436,152090
480170060437,288
480170060440,504
480170060443,81
480170060444,1064
480170060446,561
480170060448,3638
480170060449,582
480170060450,945
480170060452,28
480170060453,149
480170060455,2338
480170060456,476
480170060458,11
480170060459,171
480170060460,15296
480170060461,132
480170060464,338
480170060465,6
480170060466,990
480170060469,148
480170060470,382
480170060471,384
480170060472,80
480170060473,985
480170060474,1309
480170060475,1666
480170060476,0
480170060477,2565
480170060478,172
480170060479,0
480170060480,1449
480170060482,34
480170060485,201
480170060488,513
480170060489,300
480170060490,55
480170060491,407
480170060492,1540
480170060493,860
480170060495,151
480170060497,128
480170060499,1729
480170060501,105
480170060502,69
480170060504,193
480170060505,252
480170060506,468
480170060507,184
480170060509,1794
480170060510,18032
480170060512,456
480170060513,845
480170060514,51
480170060515,450
480170060516,648
480170060517,33
480170060518,10
480170060521,640
480170060522,8602
480170060523,342
480170060524,289
480170060525,262
480170060526,7128
480170060527,188
480170060528,116
480170060529,57
480170060530,1113
480170060531,1710
480170060533,1740
480170060534,387
480170060535,225
480170060536,2502
480170060538,184
480170060539,128
480170060540,116
480170060541,106
480170060542,2100
480170060543,162
480170060544,14
480170060545,518
480170060546,181
480170060547,795
480170060548,20
480170060551,2068
480170060554,117
480170060555,528
480170060557,2204
480170060558,504
480170060559,1890
480170060560,812
480170060561,795
480170060563,1300
480170060564,110
480170060565,3048
480170060566,675
480170060568,202
480170060570,464
480170060571,494
480170060573,744
480170060574,1696
480170060576,1260
480170060577,3483
480170060578,474
480170060580,484
480170060581,1200
480170060582,423
480170060583,684
480170060584,1615
480170060585,232
480170060586,294
480170060588,1900
480170060589,3680
480170060590,1352
480170060591,14
480170060592,1080
480170060593,6552
480170060594,592
480170060595,649
480170060597,0
480170060598,154
480170060599,1656
480170060600,82
480170060601,60
480170060602,228
480170060603,1240
480170060604,0
480170060605,920
480170060606,8792
480170060607,24
480170060608,816
480170060609,143
480170060612,135
480170060613,104
480170060614,2310
480170060615,324
480170060616,756
480170060617,658
480170060619,68
480170060620,378
480170060621,66
480170060622,1782
480170060623,714
480170060624,282
480170060625,429
480170060626,3725
480170060628,2160
480170060629,900
480170060630,288
480170060631,680
480170060632,1416
480170060633,64
480170060634,464
480170060635,164
480170060636,44
480170060639,0
480170060640,150
480170060641,1008
480170060642,1581
480170060643,594
480170060644,260
480170060645,124
480170060646,954
480170060647,90
480170060648,858
480170060649,775
480170060650,2541
480170060652,2771
480170060653,950
480170060654,1785
480170060655,650
480170060656,92
480170060659,2035
480170060660,60
480170060661,78
480170060662,187
480170060663,5
480170060664,100
480170060665,156
480170060666,192
480170060667,1026
480170060668,594
480170060669,162
480170060671,3540
480170060673,2835
480170060674,1740
480170060675,28
480170060676,5
480170060677,28
480170060678,368
480170060681,4
480170060682,1653
480170060683,527
480170060684,126
480170060685,3000
480170060686,4
480170060687,2004
480170060689,0
480170060690,0
480170060691,0
480170060692,196
480170060693,544
480170060694,1352
480170060695,4
480170060699,207
480170060700,234
480170060701,187
480170060702,248
480170060703,84
480170060704,93
480170060705,0
480170060706,495
480170060707,330
480170060709,120
480170060710,1400
480170060711,780
480170060712,8
480170060713,108
480170060714,48
480170060715,728
480170060717,534
480170060718,93
480170060719,472
480170060720,6
480170060721,0
480170060722,83
480170060724,0
480170060725,30
480170060726,73
480170060727,43
480170060728,0
480170060730,351
480170060731,1896
480170060732,316
480170060733,2
480170060734,3304
480170060735,708
480170060738,50
480170060740,585
480170060741,306
480170060743,176
480170060746,705
480170060747,2024
480170060748,312
480170060750,261
480170060751,0
480170060752,140
480170060753,143
480170060754,1342
480170060755,1280
480170060756,1560
480170060757,270
480170060758,0
480170060759,36
480170060760,1378
480170060761,0
480170060762,66
480170060763,10620
480170060764,183
480170060765,14
480170060766,282
480170060767,324
480170060768,5136
480170060771,462
480170060772,1776
480170060774,130
480170060775,46
480170060777,126
480170060779,1169
480170060781,3249
480170060782,1000
480170060783,609
480170060784,145
480170060785,364
480170060787,1605
480170060789,264
480170060790,28
480170060791,210
480170060793,4
480170060795,200
480170060796,287
480170060798,1392
480170060799,816
480170060800,442
480170060801,166
480170060802,234
480170060803,512
480170060804,7130
480170060807,81
480170060809,48
480170060810,612
480170060812,1000
480170060815,3567
480170060816,28
480170060817,1476
480170060818,17222
480170060819,1124
480170060820,97
480170060821,7
480170060822,156
480170060823,14
480170060824,50
480170060825,1560
480170060826,244
480170060827,0
480170060828,432
480170060829,88
480170060830,404
480170060831,82
480170060833,91
480170060835,930
480170060836,555
480170060837,30
480170060838,1330
480170060839,72
480170060840,56
480170060841,642
480170060842,3465
480170060843,876
480170060844,450
480170060845,70
480170060846,1140
480170060847,8544
480170060848,5
480170060850,154
480170060851,441
480170060852,31
480170060855,414
480170060858,0
480170060859,203
480170060861,1808
480170060862,32
480170060863,49
480170060864,1485
480170060865,8844
480170060866,1280
480170060867,936
480170060870,324
480170060873,844
480170060874,5800
480170060877,138
480170060878,14
480170060879,319
480170060881,25
480170060883,572
480170060884,50
480170060886,1020
480170060887,195
480170060888,1944
480170060890,14
480170060891,154
480170060892,7
480170060895,0
480170060896,82
480170060897,6848
480170060899,107
480170060902,660
480170060906,96
480170060907,2275
480170060908,324
480170060910,364
480170060911,90
480170060912,3
480170060915,256
480170060916,15428
480170060917,0
480170060918,1025
480170060919,3885
480170060920,112
480170060921,70
480170060922,13
480170060924,2616
480170060927,36
480170060928,725
480170060930,1860
480170060931,1113
480170060932,222
480170060933,56
480170060934,5328
480170060935,984
480170060936,133
480170060937,1313
480170060938,98
480170060940,81
480170060943,1008
480170060944,76
480170060945,405
480170060947,8784
480170060948,528
480170060949,368
480170060950,8
480170060952,213
480170060953,93
480170060954,35
480170060955,40
480170060957,488
480170060958,609
480170060960,66
480170060961,4930
480170060963,296
480170060964,96
480170060966,2850
480170060967,850
480170060969,2592
480170060971,1592
480170060973,2068
480170060974,495
480170060975,22
480170060976,0
480170060977,68
480170060979,370
480170060983,316
480170060984,1326
