neighbourhood,AGG_COUNT,policy1,policy2,policy3,effected_policy1,effected_policy2,effected_policy3
 ,"1",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Campo di Marte,"515",7.924482725259654,6.315193821050122,4.333446008261809,1096.000000000000000,729.000000000000000,452.000000000000000
Centro Storico,"619",16.611504339422357,14.261263801940780,9.320595870251191,7107.000000000000000,6163.000000000000000,4140.000000000000000
Gavinana Galluzzo,"304",3.265645848312806,1.999870740297311,1.005405637792010,437.000000000000000,313.000000000000000,188.000000000000000
Isolotto Legnaia,"429",1.623393300505922,1.322852071481824,0.297993603753448,473.000000000000000,348.000000000000000,146.000000000000000
Rifredi,"533",2.859440685447213,2.180225596456204,0.828833606474566,843.000000000000000,545.000000000000000,292.000000000000000
