SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060408,10.23076923076923,,2.6666666666666665,
480170060409,11.225806451612904,5.0,2.0,
480170060410,5.428571428571429,,3.25,
480170060412,21.235294117647058,,0.0,
480170060415,0.5,,,
480170060416,80.14285714285714,,,
480170060418,89.0,,2.0,
480170060419,1.0,,16.0,
480170060420,0.5,,1.0,
480170060421,24.48,,,
480170060422,0.5,,,
480170060425,26.685714285714287,,2.0,
480170060428,36.0,,16.0,3.0
480170060430,1.0,,,
480170060431,52.0,,,
480170060432,9.166666666666666,,,
480170060433,32.526315789473685,,1.0,
480170060434,64.0,,16.0,
480170060435,8.5,,1.0,
480170060436,27.64622641509434,0.0,2.357142857142857,
480170060437,12.0,,2.5,
480170060440,1.0,,1.5,
480170060443,2.0,,,
480170060444,23.944444444444443,,8.0,
480170060446,1.3333333333333333,,,
480170060448,9.454545454545455,,2.0,
480170060449,1.3333333333333333,,,
480170060450,11.428571428571429,,1.0,
480170060452,16.5,,,
480170060453,0.0,,,
480170060455,2.0,4.0,1.0,
480170060456,35.76923076923077,,1.0,
480170060458,1.0,,,
480170060459,0.0,,,
480170060460,17.67241379310345,,2.3333333333333335,
480170060461,,,1.0,
480170060464,1.5,,,
480170060465,,,,1.0
480170060466,3.142857142857143,,1.0,
480170060469,0.0,,,
480170060470,1.0,,2.0,
480170060471,0.5,,1.5,
480170060472,6.4,,,
480170060473,8.2,,,
480170060474,28.4,,2.0,
480170060475,45.16129032258065,,1.6666666666666667,
480170060476,6.0,,,
480170060477,10.409090909090908,8.0,0.6666666666666666,
480170060478,2.0,,1.0,
480170060479,10.266666666666667,,0.3333333333333333,
480170060480,40.7,,0.0,
480170060482,41.0,,,
480170060485,1.5,,1.0,
480170060488,1.0,,0.5,
480170060489,56.333333333333336,,,
480170060490,,,1.0,
480170060491,25.444444444444443,,1.0,
480170060492,47.85,,1.0,
480170060493,22.72222222222222,,1.5,
480170060495,,,1.0,
480170060497,,,1.5,
480170060499,38.88235294117647,8.0,1.0,
480170060501,8.0,,,
480170060502,1.0,,,
480170060504,,,2.0,
480170060505,2.0,,0.0,
480170060506,97.5,,1.0,
480170060507,1.0,,2.0,
480170060509,5.72,,0.0,
480170060510,17.148936170212767,,4.0,
480170060512,1.0,,3.5,
480170060513,27.666666666666668,,6.0,
480170060514,2.0,,,
480170060515,1.3333333333333333,,,
480170060516,1.3333333333333333,,,
480170060517,66.66666666666667,,,
480170060518,6.0,,,
480170060521,35.125,,1.5,
480170060522,30.15625,,1.0,
480170060523,64.4,3.0,,
480170060524,23.11764705882353,,,
480170060525,0.5,,,
