neighbourhood,entire_home_price_data
Campo di Marte,138.50396196513472,
Centro Storico,136.6783275029152,
Gavinana Galluzzo,209.29166666666666,
Isolotto Legnaia,78.17434210526316,
Rifredi,102.81709741550696,
