SEZ2011,AGG_COUNT,price,bedrooms,accommodates,E27,calculated_host_listings_count,PF1
"480170060001","3",2681.000000000000000,4.000000000000000,7.333333333333333,126.000000000000000,1.666666666666667,116.000000000000000
"480170060004","2",58.000000000000000,2.000000000000000,3.500000000000000,138.000000000000000,2.000000000000000,116.000000000000000
"480170060005","1",114.000000000000000,2.000000000000000,5.000000000000000,14.000000000000000,1.000000000000000,3.000000000000000
"480170060011","4",233.750000000000000,2.250000000000000,6.000000000000000,63.000000000000000,8.250000000000000,36.000000000000000
"480170060014","1",65.000000000000000,1.000000000000000,2.000000000000000,24.000000000000000,1.000000000000000,32.000000000000000
"480170060031","1",80.000000000000000,2.000000000000000,4.000000000000000,97.000000000000000,1.000000000000000,67.000000000000000
"480170060033","1",130.000000000000000,2.000000000000000,4.000000000000000,118.000000000000000,3.000000000000000,104.000000000000000
"480170060037","1",120.000000000000000,1.000000000000000,4.000000000000000,92.000000000000000,1.000000000000000,89.000000000000000
"480170060039","2",65.000000000000000,1.000000000000000,2.500000000000000,204.000000000000000,1.500000000000000,202.000000000000000
"480170060044","2",149.000000000000000,1.000000000000000,3.500000000000000,9.000000000000000,2.000000000000000,0.000000000000000
"480170060049","1",344.000000000000000,2.000000000000000,6.000000000000000,23.000000000000000,4.000000000000000,25.000000000000000
"480170060053","1",98.000000000000000,2.000000000000000,6.000000000000000,53.000000000000000,1.000000000000000,54.000000000000000
"480170060058","2",887.500000000000000,3.000000000000000,5.000000000000000,124.000000000000000,1.000000000000000,66.000000000000000
"480170060059","13",161.461538461538453,1.384615384615385,3.615384615384615,64.000000000000000,13.615384615384615,20.000000000000000
"480170060061","4",57.500000000000000,1.750000000000000,3.500000000000000,83.000000000000000,2.500000000000000,61.000000000000000
"480170060062","2",95.500000000000000,1.500000000000000,3.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000
"480170060068","1",548.000000000000000,5.000000000000000,10.000000000000000,124.000000000000000,6.000000000000000,98.000000000000000
"480170060070","6",75.333333333333329,1.666666666666667,4.666666666666667,8.000000000000000,8.500000000000000,8.000000000000000
"480170060071","4",191.500000000000000,2.500000000000000,7.250000000000000,130.000000000000000,2.000000000000000,114.000000000000000
"480170060073","1",151.000000000000000,4.000000000000000,10.000000000000000,38.000000000000000,1.000000000000000,35.000000000000000
"480170060074","1",65.000000000000000,0.000000000000000,2.000000000000000,24.000000000000000,2.000000000000000,24.000000000000000
"480170060079","3",54.333333333333336,1.666666666666667,4.000000000000000,140.000000000000000,2.000000000000000,144.000000000000000
"480170060082","4",63.750000000000000,1.500000000000000,3.250000000000000,91.000000000000000,1.000000000000000,82.000000000000000
"480170060084","1",98.000000000000000,1.000000000000000,2.000000000000000,4.000000000000000,1.000000000000000,4.000000000000000
"480170060085","5",102.799999999999997,1.250000000000000,2.600000000000000,245.000000000000000,27.800000000000001,239.000000000000000
"480170060086","2",70.000000000000000,3.000000000000000,6.500000000000000,96.000000000000000,1.000000000000000,101.000000000000000
"480170060087","1",135.000000000000000,2.000000000000000,4.000000000000000,20.000000000000000,1.000000000000000,9.000000000000000
"480170060093","2",132.000000000000000,1.000000000000000,2.500000000000000,144.000000000000000,65.500000000000000,127.000000000000000
"480170060094","4",109.500000000000000,2.250000000000000,5.250000000000000,64.000000000000000,2.250000000000000,43.000000000000000
"480170060095","3",75.000000000000000,1.333333333333333,4.000000000000000,23.000000000000000,3.000000000000000,13.000000000000000
"480170060096","5",64.599999999999994,1.200000000000000,3.000000000000000,144.000000000000000,1.000000000000000,141.000000000000000
"480170060098","3",1489.000000000000000,8.000000000000000,12.666666666666666,13.000000000000000,6.000000000000000,9.000000000000000
"480170060099","7",61.428571428571431,1.285714285714286,2.857142857142857,181.000000000000000,1.428571428571429,201.000000000000000
"480170060100","4",68.250000000000000,1.500000000000000,3.250000000000000,65.000000000000000,11.250000000000000,69.000000000000000
"480170060102","2",75.000000000000000,1.500000000000000,5.000000000000000,42.000000000000000,2.000000000000000,36.000000000000000
"480170060106","8",100.000000000000000,1.125000000000000,2.875000000000000,198.000000000000000,3.875000000000000,188.000000000000000
"480170060110","2",139.500000000000000,1.500000000000000,2.500000000000000,102.000000000000000,1.500000000000000,71.000000000000000
"480170060115","5",128.800000000000011,2.200000000000000,4.800000000000000,69.000000000000000,2.800000000000000,67.000000000000000
"480170060118","1",321.000000000000000,3.000000000000000,7.000000000000000,121.000000000000000,2.000000000000000,119.000000000000000
"480170060122","1",200.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,13.000000000000000,4.000000000000000
"480170060123","5",162.800000000000011,2.750000000000000,5.200000000000000,58.000000000000000,3.000000000000000,24.000000000000000
"480170060124","3",83.333333333333329,1.666666666666667,4.000000000000000,324.000000000000000,1.333333333333333,291.000000000000000
"480170060126","1",52.000000000000000,2.000000000000000,5.000000000000000,80.000000000000000,2.000000000000000,64.000000000000000
"480170060127","4",44.750000000000000,1.000000000000000,3.000000000000000,485.000000000000000,3.500000000000000,494.000000000000000
"480170060128","1",90.000000000000000,2.000000000000000,4.000000000000000,16.000000000000000,1.000000000000000,16.000000000000000
"480170060132","4",252.500000000000000,1.750000000000000,4.000000000000000,31.000000000000000,5.000000000000000,16.000000000000000
"480170060133","1",50.000000000000000,1.000000000000000,3.000000000000000,48.000000000000000,1.000000000000000,43.000000000000000
"480170060134","2",92.000000000000000,1.000000000000000,3.000000000000000,31.000000000000000,1.000000000000000,18.000000000000000
"480170060137","1",94.000000000000000,1.000000000000000,4.000000000000000,5.000000000000000,1.000000000000000,7.000000000000000
