,field_1,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,SEZ2011,Shape_Leng,Shape_Area,P1,A46,A47,PF1,E3,E27
0,4123,19540062,https://www.airbnb.com/rooms/19540062,2021/12/17,Flat with a view,137252010,Giulia,2017/06/27,"Florence, Tuscany, Italy",2,Campo di Marte,43.79095,11.27512,Entire home/apt,3,1.0,65,0,0,0,0,0,0,,f,1,2.21,480170061721,266.047123748,4225.50290379,99,7,33,45,8,39
1,443,998704,https://www.airbnb.com/rooms/998704,2021/12/17,"Bright comfortable "" mini-loft""",5488837,Antonio,2013/03/16,"Florence, Tuscany, Italy",1,Rifredi,43.79022,11.25304,Entire home/apt,2,1.0,70,0,0,0,107,0,0,,f,1,0.28,480170061722,542.327217736,17001.1195918,428,52,142,217,25,202
2,1058,3441668,https://www.airbnb.com/rooms/3441668,2021/12/17,Cozy room for young travellers,17343973,Susanna,2014/06/27,"Florence, Tuscany, Italy",2,Rifredi,43.79028,11.2528,Private room,2,1.0,28,13,43,73,73,0,0,,f,1,0.52,480170061722,542.327217736,17001.1195918,428,52,142,217,25,202
3,2571,11816924,https://www.airbnb.com/rooms/11816924,2021/12/17,Comfortable room in Florence downtown,8947203,Salvatore,2013/09/20,"Florence, Tuscany, Italy",1,Rifredi,43.79004,11.2531,Private room,2,1.0,35,0,0,0,0,0,0,,f,1,0.17,480170061722,542.327217736,17001.1195918,428,52,142,217,25,202
4,3491,16684187,https://www.airbnb.com/rooms/16684187,2021/12/17,Stibbert relax,110438072,Luca,2017/01/08,IT,1,Rifredi,43.79048,11.25193,Entire home/apt,3,1.0,39,0,0,0,69,0,0,,t,1,0.74,480170061722,542.327217736,17001.1195918,428,52,142,217,25,202
